NewApp,Postmaster General,Last,Office,Month,County,Year,President,Day,First
1,26,Dunn,NECHES,5,Anderson,1892,15,17,Thos. R.
0,15,Capps,NECHESVILLE,12,Anderson,1872,9,23,John Q. A.
0,17,Dunn,NECHESVILLE,1,Anderson,1876,10,7,Thos. R.
0,14,Cuthbertson,PALESTINE,8,Anderson,1868,8,5,Thos.
0,15,Hunt,PALESTINE,12,Anderson,1869,9,15,Albert F.
0,15,Mead,PALESTINE,5,Anderson,1870,9,9,Jas. H.
0,15,Butler,PALESTINE,3,Anderson,1871,9,3,Thos. M.
0,15,Kelly,PALESTINE,6,Anderson,1871,9,20,Geo. D.
0,15,Pells,PALESTINE,10,Anderson,1872,9,21,Jos. F.
0,25,Ferguson,PALESTINE,2,Anderson,1886,14,15,Alex.
0,26,Dilley,PALESTINE,1,Anderson,1890,15,16,Geo. E.
0,26,McReynolds,PALESTINE,2,Anderson,1894,16,16,Z. A.
0,28,Hall,PALESTINE,5,Anderson,1898,17,10,Thos.
1,15,Stalcup,PARKER'S BLUFF,8,Anderson,1870,9,24,John J.
0,15,Williams,PARKER'S BLUFF,10,Anderson,1870,9,7,Anderson
2,15,Starr,PLENTITUDE,6,Anderson,1870,9,17,Jasper
3,17,Starr,PLENTITUDE,7,Anderson,1875,10,1,Jasper
0,19,Davis,PLENTITUDE,12,Anderson,1877,11,10,John A.
1,15,Kemp,PRAIRIE POINT,2,Anderson,1873,9,26,Francis
2,17,Young Jr.,PRAIRIE POINT,2,Anderson,1876,10,24,John
1,28,Rehm,PRICE,9,Anderson,1899,17,5,Margaret M.
0,28,Price,PRICE,11,Anderson,1900,17,12,Cynthia
-1,28,Heidleberg,SAUNDERS,11,Anderson,1901,19,16,Paul B.
1,27,McDaniel,SLOCUM,1,Anderson,1898,17,4,Edmon T.
1,26,Devany,STEELBORO,5,Anderson,1891,15,6,Geo.
3,17,Avant,TENNESSEE COLONY,9,Anderson,1875,10,22,Mason S.
-1,22,Young Jr.,TUCKER,1,Anderson,1882,13,31,John
0,23,Johnston,TUCKER,12,Anderson,1883,13,10,Henry F.
