Dif,Ratio
606,0.25
820,4.0
-698,1.6666666666666667
-650,1.5
820,0.3333333333333333
-698,5.0
303,3.0
820,2.0
-698,5.0
-650,0.5
-650,0.6666666666666666
-295,6.0
606,3.0
606,1.5
606,1.5
-698,2.0
775,2.0
775,2.0
303,0.5
124,1.0
124,1.5
13,0.5
13,4.0
194,2.0
-169,1.3333333333333333
-169,3.0
-143,1.0
-168,1.0
-711,3.0
13,1.3333333333333333
194,1.6666666666666667
360,2.0
-168,0.6666666666666666
-711,5.0
124,2.0
-168,0.5
194,3.0
360,3.0
194,2.0
13,2.0
-143,3.0
-711,3.0
124,2.0
-169,3.0
-143,2.0
-143,2.0
-711,2.0
360,1.0
360,2.0
-140,3.0
-140,2.0
-58,2.0
-140,1.0
-58,2.0
-58,2.0
-58,2.0
98,0.6666666666666666
98,2.0
-91,2.0
-91,0.6666666666666666
-186,0.5
-186,3.0
98,2.0
-91,2.0
1575,2.4
-1160,1.0
-1426,3.0
-1426,1.6666666666666667
-1053,2.0
-1053,2.0
-1053,7.0
-1053,0.5
-8,0.3333333333333333
-823,4.0
1575,10.0
-1160,4.0
-1160,5.0
-1160,6.0
1376,2.0
-1426,3.0
-8,2.0
-8,2.0
-524,1.0
-823,2.0
1575,2.0
1376,1.5
-1426,0.75
-524,0.25
-823,5.0
-823,2.5
1376,5.0
1376,3.0
-524,0.5
-524,3.0
1575,1.5
124,0.8
-175,1.0
397,1.0
-414,1.0
397,1.0
-251,1.0
-251,5.0
-414,1.5
-296,4.0
-175,4.0
-24,2.5
-175,4.0
124,1.0
124,2.0
397,2.0
-414,1.5
-214,4.0
-214,2.0
-296,3.0
-24,2.0
-251,3.0
-414,2.5
-24,1.5
-214,0.5
-251,1.0
397,1.0
-175,4.0
-24,3.0
-214,1.5
-296,1.0
-296,1.0
-596,2.0
-1081,2.0
-941,5.0
-941,2.0
-941,3.5
-1081,1.6666666666666667
1086,4.0
1086,4.0
-483,1.3333333333333333
-596,3.0
1009,3.0
1009,1.3333333333333333
-483,0.75
-131,1.25
-131,2.5
-483,1.4
-596,2.3333333333333335
1009,6.0
-596,1.5
-1081,1.0
-1081,1.5
1086,2.0
-761,3.5
-483,2.5
-761,4.0
-761,0.6666666666666666
-131,5.0
1086,3.0
1009,2.0
-761,2.0
-941,3.0
-131,1.0
-1258,2.0
-110,0.5
-234,4.0
671,2.0
-1150,0.6
-234,1.0
-1258,0.8
-706,0.75
-706,4.0
-746,4.0
1274,1.3333333333333333
-110,1.0
-706,4.0
671,2.0
671,3.0
1274,1.3333333333333333
-1150,2.0
-1258,3.0
-110,1.0
-234,3.0
-234,0.6666666666666666
-706,2.0
-746,6.0
1274,2.0
1274,3.0
671,1.0
-1258,6.0
-746,0.3333333333333333
-746,0.4
-110,2.0
-1150,3.0
-1150,2.0
64,0.6666666666666666
-183,0.5
-183,3.0
64,2.0
64,2.0
64,0.6666666666666666
-72,2.0
-72,2.0
114,1.0
114,3.0
114,4.0
-186,3.0
11,2.0
11,2.0
11,2.0
-72,0.5
-186,2.0
-777,2.0
-777,6.0
-777,3.0
-397,1.0
-397,1.0
-561,5.0
650,3.0
816,2.0
816,2.5
-561,1.0
-561,4.0
-532,1.5
-532,2.5
-397,1.3333333333333333
-397,0.5
650,3.0
650,0.6666666666666666
650,4.0
-561,3.0
-777,1.5
-532,5.0
-532,7.0
816,0.5
620,0.5
-770,2.0
620,3.0
-1009,2.0
1068,4.0
-360,3.0
-360,2.0
-1687,0.5
1068,2.0
0,3.0
0,4.0
0,0.3333333333333333
-93,1.0
-770,0.5
-1687,2.0
620,2.0
1068,2.0
-360,2.0
1068,0.5
118,1.0
-39,1.0
118,1.3333333333333333
-133,2.0
62,2.0
-39,1.0
-133,0.5
-133,3.0
-153,1.0
290,3.0
-153,0.3333333333333333
290,3.0
118,0.3333333333333333
-153,0.5
-153,2.0
290,2.0
62,2.0
290,0.5
118,0.5
-81,2.5
-81,0.6666666666666666
-42,1.0
-90,3.0
-42,0.5
-42,2.0
123,2.0
-90,2.0
-90,2.0
-81,2.0
1029,0.42857142857142855
-971,8.0
1031,8.0
83,2.5
83,2.0
1029,1.0
83,1.6666666666666667
339,2.25
339,1.6666666666666667
339,3.0
-971,1.0
-971,2.5
1031,10.0
-1008,1.8571428571428572
1029,10.0
83,9.0
-971,5.0
1031,3.0
1031,1.3333333333333333
-1008,1.0
-1008,1.0
339,1.5
-1008,1.0
1029,2.0
-92,0.5
-92,1.5
79,1.0
-72,2.0
-72,3.0
-92,0.5
-65,3.0
-139,2.0
-131,2.0
209,4.0
-124,4.0
-111,1.0
-111,2.0
-139,0.3333333333333333
-124,0.3333333333333333
209,1.5
-124,6.0
-111,6.0
-131,1.0
-111,2.0
-131,0.6666666666666666
-124,3.0
-206,0.5
-139,0.5
-65,2.0
-65,2.0
-206,2.0
182,2.0
182,2.0
209,2.0
182,0.5
182,2.0
-594,2.0
-646,1.5
-646,1.0
-646,2.0
-956,2.0
-956,2.0
-1317,1.6666666666666667
-383,3.25
-400,2.0
-400,4.0
-1317,1.5
1211,4.0
1211,6.0
-594,1.0
-400,1.3333333333333333
-383,3.5
-1317,1.0
1211,3.5
-400,2.0
1252,2.0
-646,0.25
1252,1.0
1252,1.6666666666666667
-956,3.0
-1317,3.0
-594,1.0
1211,0.3333333333333333
-383,3.0
-956,0.5
-383,2.0
1252,0.5
-594,3.0
-80,0.5
-80,4.0
-273,6.0
-324,3.0
-80,0.5
-273,1.0
-324,4.0
358,0.75
358,3.0
358,2.0
-273,4.0
-80,0.5
358,2.0
-273,1.0
-147,0.14285714285714285
-702,3.5
623,1.0
-702,1.75
623,2.5
-604,1.5
