County,ChangeNum,Est,EstNum,Year
Armstrong,0,,4,1893
Armstrong,0,,1,1894
Armstrong,0,,1,1896
Armstrong,0,,2,1888
Armstrong,0,,1,1890
Armstrong,0,,3,1891
Armstrong,0,,4,1897
Armstrong,0,,1,1898
Armstrong,0,,2,1903
Armstrong,0,,5,1913
Armstrong,0,,2,1922
Armstrong,0,,3,1895
Armstrong,0,,1,0
Armstrong,0,,2,1900
Armstrong,0,,1,1901
Armstrong,0,,1,1904
Armstrong,0,,1,1906
Armstrong,0,,1,1907
Armstrong,0,,1,1909
Armstrong,0,,1,1930
Armstrong,0,,1,1882
Armstrong,0,,1,1889
Armstrong,0,,2,1910
Armstrong,0,,2,1917
Armstrong,0,,2,1920
Armstrong,0,,1,1925
Armstrong,0,,1,1892
Armstrong,0,,2,1899
Armstrong,0,,1,1916
Armstrong,0,,1,1921
Armstrong,0,,1,1915
Atascosa,0,-,218,-
Atascosa,0,,5,1886
Atascosa,0,,4,1892
Atascosa,0,,3,1897
Atascosa,0,,6,1907
Atascosa,0,,4,1908
Atascosa,0,,6,1909
Atascosa,0,,10,1910
Atascosa,0,,9,1914
Atascosa,0,,3,1889
Atascosa,0,,5,1913
Atascosa,0,,3,1929
Atascosa,0,,3,1930
Atascosa,0,,3,1871
Atascosa,0,,2,1876
Atascosa,0,,1,1877
Atascosa,0,,3,1878
Atascosa,0,,4,1879
Atascosa,0,,2,1884
Atascosa,0,,3,1885
Atascosa,0,,2,1887
Atascosa,0,,4,1891
Atascosa,0,,4,1898
Atascosa,0,,2,1899
Atascosa,0,,2,1901
Atascosa,0,,5,1906
Atascosa,0,,7,1912
Atascosa,0,,3,1920
Atascosa,0,,5,1922
Atascosa,0,,2,1925
Atascosa,0,,3,1926
Atascosa,0,,3,1915
Atascosa,0,,2,1918
Atascosa,0,,3,1921
Atascosa,0,,5,1924
Atascosa,0,,1,1916
Atascosa,0,,2,1919
Atascosa,0,,4,1923
Atascosa,0,,3,1927
Atascosa,0,,3,1900
Atascosa,0,,4,1902
Atascosa,0,,5,1917
Atascosa,0,,4,1881
Atascosa,0,,2,1888
Atascosa,0,,2,1896
Atascosa,0,,4,1880
Atascosa,0,,5,1895
Atascosa,0,,3,1893
Atascosa,0,,4,1911
Atascosa,0,,1,1905
Atascosa,0,,4,1883
Atascosa,0,,1,1890
Atascosa,0,,4,1866
Atascosa,0,,2,1873
Atascosa,0,,3,1874
Atascosa,0,,2,1858
Atascosa,0,,1,1860
Atascosa,0,,1,1861
Atascosa,0,,1,1862
Atascosa,0,,1,1865
Atascosa,0,,2,1867
Atascosa,0,,1,1870
Atascosa,0,,1,1875
Atascosa,0,,5,1882
Atascosa,0,,1,1931
Atascosa,0,,1,1932
Atascosa,0,,3,1903
Atascosa,0,,1,1869
Atascosa,0,,1,1872
Atascosa,0,,2,1904
Atascosa,0,,2,1894
Austin,0,-,232,-
Austin,0,,7,1846
Austin,0,,3,1849
Austin,0,,4,1858
Austin,0,,4,1859
Austin,0,,11,1861
Austin,0,,8,1866
Austin,0,,4,1870
Austin,0,,4,1872
Austin,0,,6,1889
Austin,0,,4,1898
Austin,0,,4,1902
Austin,0,,4,1913
Austin,0,,5,1922
Austin,0,,1,1891
Austin,0,,1,1921
Austin,0,,3,1873
Austin,0,,8,1901
Austin,0,,3,1909
Austin,0,,2,1874
Austin,0,,5,1875
Austin,0,,2,1899
Austin,0,,9,1893
Austin,0,,2,1853
Austin,0,,2,1854
Austin,0,,4,1886
Austin,0,,4,1892
Austin,0,,2,1896
Austin,0,,6,1897
Austin,0,,3,1914
Austin,0,,1,1915
Austin,0,,2,1929
Austin,0,,2,1884
Austin,0,,2,1887
Austin,0,,5,1905
Austin,0,,3,1907
Austin,0,,1,1856
Austin,0,,4,1910
Austin,0,,2,1912
Austin,0,,2,1855
Austin,0,,4,1862
Austin,0,,4,1864
Austin,0,,3,1857
Austin,0,,1,1863
Austin,0,,1,1865
Austin,0,,4,1867
Austin,0,,1,1868
Austin,0,,2,1869
Austin,0,,4,1888
Austin,0,,3,1894
Austin,0,,1,1906
Austin,0,,2,1860
Austin,0,,1,1881
Austin,0,,1,1876
Austin,0,,4,1879
Austin,0,,3,1904
Austin,0,,1,1908
Austin,0,,2,1924
Austin,0,,2,1848
Austin,0,,1,1883
Austin,0,,2,1885
Austin,0,,1,1926
Austin,0,,2,1927
Austin,0,,2,1882
Austin,0,,1,1850
Austin,0,,3,1851
Austin,0,,3,1852
Austin,0,,2,1847
Austin,0,,4,1880
Austin,0,,1,1900
Austin,0,,3,1928
Austin,0,,1,1932
Austin,0,,4,1871
Austin,0,,2,0
Austin,0,,4,1878
Austin,0,,1,1911
Austin,0,,2,1877
Bailey,0,-,31,-
Bailey,0,,2,1922
Bailey,0,,2,1925
Bailey,0,,1,1928
Bailey,0,,1,1930
Bailey,0,,7,1929
Bailey,0,,1,1931
Bailey,0,,2,1926
Bailey,0,,2,1907
Bailey,0,,2,1913
Bailey,0,,1,1915
Bailey,0,,2,1919
Bailey,0,,1,1921
Bailey,0,,1,1923
Bailey,0,,3,1927
Bailey,0,,1,1910
Bailey,0,,1,1914
Bailey,0,,1,1920
Bandera,0,-,102,-
Bandera,0,,1,1858
Bandera,0,,1,1861
Bandera,0,,2,1865
Bandera,0,,1,1866
Bandera,0,,1,1868
Bandera,0,,1,1871
Bandera,0,,3,1880
Bandera,0,,1,1889
Bandera,0,,1,1893
Bandera,0,,3,1899
Bandera,0,,3,1908
Bandera,0,,2,1913
Bandera,0,,3,1919
Bandera,0,,2,1926
Bandera,0,,2,1906
Bandera,0,,2,1907
Bandera,0,,4,1914
Bandera,0,,2,1920
Bandera,0,,1,1921
Bandera,0,,1,1922
Bandera,0,,3,1923
Bandera,0,,3,1884
Bandera,0,,1,1894
Bandera,0,,1,1882
Bandera,0,,3,1879
Bandera,0,,2,1886
Bandera,0,,1,1878
Bandera,0,,3,1881
Bandera,0,,1,1890
Bandera,0,,1,1896
Bandera,0,,1,1897
Bandera,0,,1,1883
Bandera,0,,1,1898
Bandera,0,,2,1900
Bandera,0,,3,1904
Bandera,0,,2,1911
Bandera,0,,3,1915
Bandera,0,,3,1917
Bandera,0,,2,1918
Bandera,0,,2,1887
Bandera,0,,3,1895
Bandera,0,,3,1901
Bandera,0,,1,1873
Bandera,0,,1,1877
Bandera,0,,2,1885
Bandera,0,,5,1888
Bandera,0,,3,1909
Bandera,0,,1,1905
Bandera,0,,1,1910
Bandera,0,,2,1903
Bandera,0,,1,1912
Bandera,0,,1,1928
Bandera,0,,1,1902
Bandera,0,,1,1929
Bastrop,0,-,289,-
Bastrop,0,,3,1851
Bastrop,0,,4,1852
Bastrop,0,,3,1858
Bastrop,0,,1,1862
Bastrop,0,,1,1863
Bastrop,0,,4,1866
Bastrop,0,,6,1868
Bastrop,0,,4,1872
Bastrop,0,,5,1874
Bastrop,0,,5,1881
Bastrop,0,,3,1888
Bastrop,0,,7,1889
Bastrop,0,,7,1893
Bastrop,0,,3,1895
Bastrop,0,,4,1897
Bastrop,0,,6,1884
Bastrop,0,,2,1885
Bastrop,0,,3,1846
Bastrop,0,,7,1861
Bastrop,0,,1,1865
Bastrop,0,,5,1890
Bastrop,0,,9,1900
Bastrop,0,,4,1906
Bastrop,0,,5,1914
Bastrop,0,,3,1923
Bastrop,0,,9,1902
Bastrop,0,,8,1876
Bastrop,0,,4,1901
Bastrop,0,,2,1878
Bastrop,0,,4,1879
Bastrop,0,,6,1880
Bastrop,0,,4,1883
Bastrop,0,,9,1886
Bastrop,0,,5,1887
Bastrop,0,,5,1912
Bastrop,0,,4,1918
Bastrop,0,,2,1921
Bastrop,0,,1,1854
Bastrop,0,,1,1857
Bastrop,0,,2,1859
Bastrop,0,,3,1869
Bastrop,0,,7,1877
Bastrop,0,,5,1892
Bastrop,0,,4,1905
Bastrop,0,,3,1907
Bastrop,0,,8,1891
Bastrop,0,,4,1873
Bastrop,0,,1,0
Bastrop,0,,9,1898
Bastrop,0,,4,1908
Bastrop,0,,3,1916
Bastrop,0,,6,1922
Bastrop,0,,2,1925
Bastrop,0,,2,1926
Bastrop,0,,4,1896
Bastrop,0,,3,1882
Bastrop,0,,5,1894
Bastrop,0,,6,1899
Bastrop,0,,3,1909
Bastrop,0,,2,1917
Bastrop,0,,3,1903
Bastrop,0,,5,1904
Bastrop,0,,2,1913
Bastrop,0,,5,1871
Bastrop,0,,1,1930
Bastrop,0,,4,1875
Bastrop,0,,2,1915
Bastrop,0,,3,1870
Bastrop,0,,1,1911
Bastrop,0,,1,1910
Bastrop,0,,1,1924
Bastrop,0,,1,1853
Bastrop,0,,1,1860
Bastrop,0,,1,1919
Bastrop,0,,1,1849
Bastrop,0,,1,1855
Bastrop,0,,1,1867
Baylor,0,-,83,-
Baylor,0,,2,1892
Baylor,0,,2,1906
Baylor,0,,2,1909
Baylor,0,,1,1912
Baylor,0,,2,1916
Baylor,0,,1,1919
Baylor,0,,1,1888
Baylor,0,,1,1894
Baylor,0,,2,1895
Baylor,0,,1,1896
Baylor,0,,4,1897
Baylor,0,,1,1902
Baylor,0,,2,1908
Baylor,0,,5,1910
Baylor,0,,1,1913
Baylor,0,,2,1915
Baylor,0,,3,1925
Baylor,0,,1,1927
Baylor,0,,3,1928
Baylor,0,,6,1879
Baylor,0,,3,1891
Baylor,0,,4,1907
Baylor,0,,1,1918
Baylor,0,,1,1921
Baylor,0,,1,1923
Baylor,0,,1,1929
Baylor,0,,1,0
Baylor,0,,2,1881
Baylor,0,,1,1884
Baylor,0,,2,1885
Baylor,0,,2,1886
Baylor,0,,2,1893
Baylor,0,,1,1901
Baylor,0,,2,1914
Baylor,0,,1,1920
Baylor,0,,2,1922
Baylor,0,,1,1924
Baylor,0,,1,1880
Baylor,0,,1,1883
Baylor,0,,1,1890
Baylor,0,,2,1900
Baylor,0,,2,1905
Baylor,0,,1,1898
Baylor,0,,1,1899
Baylor,0,,1,1911
Baylor,0,,1,1917
Baylor,0,,1,1926
Bee,0,-,143,-
Bee,0,,2,1871
Bee,0,,1,1859
Bee,0,,1,0
Bee,0,,1,1861
Bee,0,,4,1862
Bee,0,,2,1864
Bee,0,,2,1866
Bee,0,,1,1867
Bee,0,,4,1872
Bee,0,,1,1874
Bee,0,,3,1877
Bee,0,,2,1880
Bee,0,,2,1883
Bee,0,,1,1885
Bee,0,,1,1889
Bee,0,,3,1890
Bee,0,,1,1897
Bee,0,,1,1905
Bee,0,,5,1914
Bee,0,,4,1922
Bee,0,,3,1927
Bee,0,,2,1888
Bee,0,,3,1901
Bee,0,,1,1906
Bee,0,,4,1930
Bee,0,,2,1892
Bee,0,,1,1893
Bee,0,,3,1894
Bee,0,,3,1895
Bee,0,,4,1896
Bee,0,,2,1899
Bee,0,,2,1902
Bee,0,,2,1916
Bee,0,,2,1917
Bee,0,,3,1919
Bee,0,,3,1920
Bee,0,,1,1923
Bee,0,,1,1925
Bee,0,,3,1903
Bee,0,,9,1907
Bee,0,,2,1909
Bee,0,,1,1910
Bee,0,,5,1912
Bee,0,,4,1911
Bee,0,,3,1908
Bee,0,,4,1860
Bee,0,,1,1865
Bee,0,,1,1884
Bee,0,,1,1878
Bee,0,,3,1879
Bee,0,,1,1881
Bee,0,,2,1882
Bee,0,,2,1886
Bee,0,,1,1915
Bee,0,,3,1921
Bee,0,,2,1898
Bee,0,,1,1900
Bee,0,,1,1926
Bee,0,,3,1887
Bee,0,,1,1870
Bee,0,,2,1924
Bee,0,,1,1928
Bee,0,,1,1931
Bee,0,,1,1918
Bell,0,-,383,-
Bell,0,,2,1868
Bell,0,,7,1870
Bell,0,,7,1871
Bell,0,,1,1860
Bell,0,,9,1900
Bell,0,,5,1902
Bell,0,,5,1903
Bell,0,,10,1894
Bell,0,,2,1910
Bell,0,,6,1914
Bell,0,,3,1923
Bell,0,,8,1891
Bell,0,,8,1892
Bell,0,,15,1893
Bell,0,,15,1897
Bell,0,,2,1905
Bell,0,,4,1906
Bell,0,,6,1852
Bell,0,,1,1853
Bell,0,,4,1854
Bell,0,,2,1855
Bell,0,,1,1856
Bell,0,,1,1859
Bell,0,,4,1861
Bell,0,,1,1864
Bell,0,,3,1866
Bell,0,,2,1867
Bell,0,,5,1872
Bell,0,,9,1873
Bell,0,,7,1876
Bell,0,,4,1877
Bell,0,,5,1880
Bell,0,,6,1885
Bell,0,,15,1889
Bell,0,,3,1907
Bell,0,,4,1916
Bell,0,,1,1919
Bell,0,,10,1895
Bell,0,,10,1896
Bell,0,,10,1898
Bell,0,,4,1901
Bell,0,,3,1904
Bell,0,,5,1912
Bell,0,,3,1913
Bell,0,,8,1899
Bell,0,,3,1884
Bell,0,,9,1874
Bell,0,,5,1878
Bell,0,,9,1886
Bell,0,,9,1888
Bell,0,,9,1890
Bell,0,,5,0
Bell,0,,2,1869
Bell,0,,9,1881
Bell,0,,9,1882
Bell,0,,13,1883
Bell,0,,3,1909
Bell,0,,5,1911
Bell,0,,3,1930
Bell,0,,1,1931
Bell,0,,4,1879
Bell,0,,3,1887
Bell,0,,5,1917
Bell,0,,7,1921
Bell,0,,1,1862
Bell,0,,3,1857
Bell,0,,1,1858
Bell,0,,1,1915
Bell,0,,4,1908
Bell,0,,3,1918
