County,Num,Year
Atascosa,3,1927
Atascosa,3,1900
Atascosa,4,1902
Atascosa,5,1917
Atascosa,4,1881
Atascosa,2,1888
Atascosa,2,1896
Atascosa,4,1880
Atascosa,5,1895
Atascosa,3,1893
Atascosa,4,1911
Atascosa,1,1905
Atascosa,4,1883
Atascosa,1,1890
Atascosa,4,1866
Atascosa,2,1873
Atascosa,3,1874
Atascosa,2,1858
Atascosa,1,1860
Atascosa,1,1861
Atascosa,1,1862
Atascosa,1,1865
Atascosa,2,1867
Atascosa,1,1870
Atascosa,1,1875
Atascosa,5,1882
Atascosa,1,1931
Atascosa,1,1932
Atascosa,3,1903
Atascosa,1,1869
Atascosa,1,1872
Atascosa,2,1904
Atascosa,2,1894
Austin,232,-
Austin,7,1846
Austin,3,1849
Austin,4,1858
Austin,4,1859
Austin,11,1861
Austin,8,1866
Austin,4,1870
Austin,4,1872
Austin,6,1889
Austin,4,1898
Austin,4,1902
Austin,4,1913
Austin,5,1922
Austin,1,1891
Austin,1,1921
Austin,3,1873
Austin,8,1901
Austin,3,1909
Austin,2,1874
Austin,5,1875
Austin,2,1899
Austin,9,1893
Austin,2,1853
Austin,2,1854
Austin,4,1886
Austin,4,1892
Austin,2,1896
Austin,6,1897
Austin,3,1914
Austin,1,1915
Austin,2,1929
Austin,2,1884
Austin,2,1887
Austin,5,1905
Austin,3,1907
Austin,1,1856
Austin,4,1910
Austin,2,1912
Austin,2,1855
Austin,4,1862
Austin,4,1864
Austin,3,1857
Austin,1,1863
Austin,1,1865
Austin,4,1867
Austin,1,1868
Austin,2,1869
Austin,4,1888
Austin,3,1894
Austin,1,1906
Austin,2,1860
Austin,1,1881
Austin,1,1876
Austin,4,1879
Austin,3,1904
Austin,1,1908
Austin,2,1924
Austin,2,1848
Austin,1,1883
Austin,2,1885
Austin,1,1926
Austin,2,1927
Austin,2,1882
Austin,1,1850
Austin,3,1851
Austin,3,1852
Austin,2,1847
Austin,4,1880
Austin,1,1900
Austin,3,1928
Austin,1,1932
Austin,4,1871
Austin,2,0
Austin,4,1878
Austin,1,1911
Austin,2,1877
Bailey,31,-
Bailey,2,1922
Bailey,2,1925
Bailey,1,1928
Bailey,1,1930
Bailey,7,1929
Bailey,1,1931
Bailey,2,1926
Bailey,2,1907
Bailey,2,1913
Bailey,1,1915
Bailey,2,1919
Bailey,1,1921
Bailey,1,1923
Bailey,3,1927
Bailey,1,1910
Bailey,1,1914
Bailey,1,1920
Bandera,102,-
Bandera,1,1858
Bandera,1,1861
Bandera,2,1865
Bandera,1,1866
Bandera,1,1868
Bandera,1,1871
Bandera,3,1880
Bandera,1,1889
Bandera,1,1893
Bandera,3,1899
Bandera,3,1908
Bandera,2,1913
Bandera,3,1919
Bandera,2,1926
Bandera,2,1906
Bandera,2,1907
Bandera,4,1914
Bandera,2,1920
Bandera,1,1921
Bandera,1,1922
Bandera,3,1923
Bandera,3,1884
Bandera,1,1894
Bandera,1,1882
Bandera,3,1879
Bandera,2,1886
Bandera,1,1878
Bandera,3,1881
Bandera,1,1890
Bandera,1,1896
Bandera,1,1897
Bandera,1,1883
