"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"72","Evans","Alfred L.","BRUSHY CREEK","Anderson",1917,"3","27","Alfred","male","male"
"73","Godley","Arch. G.","BRUSHY CREEK","Anderson",1921,"2","16","Arch","male","male"
"74","Berry","Doyle P.","BRUSHY CREEK","Anderson",1922,"8","15","Doyle","male","male"
"75","Cely","Frank I.","BRUSHY CREEK","Anderson",1923,"7","17","Frank","male","male"
"76","Patterson","Ruth R.","CANTRELL","Anderson",1901,"12","19","Ruth","female","female"
"77","Davenport","Wm. A.","CAYUGA","Anderson",1894,"5","7","Wm",NA,"male"
"78","Cornwell","Cora L.","CAYUGA","Anderson",1897,"7","29","Cora","female","female"
"79","Godley","Beulah","CAYUGA","Anderson",1903,"8","3","Beulah","female","female"
"80","Thomas","Mamie C.","CAYUGA","Anderson",1906,"12","3","Mamie","female","female"
"81","Godley","Beulah","CAYUGA","Anderson",1909,"2","19","Beulah","female","female"
"82","Harton","Jewel","CAYUGA","Anderson",1910,"4","2","Jewel","female","female"
"83","Johnson","Jos. A.","CAYUGA","Anderson",1910,"10","5","Jos","male","male"
"84","Brown","Wm. M.","COUNTY LINE","Anderson",1903,"4","14","Wm",NA,"male"
"85","Brown","Isaac W.","DENMARK","Anderson",1905,"8","2","Isaac","male","male"
"86","Day","Chas. L.","DENMARK","Anderson",1913,"8","27","Chas",NA,"male"
"87","Wortham","John W.","DENSON SPRING","Anderson",1893,"12","28","John","male","male"
"88","Cone","John P.","DENSON SPRING","Anderson",1910,"6","27","John","male","male"
"89","Bourman","Joel H.","DENSON SPRING","Anderson",1915,"5","1","Joel","male","male"
"90","Thompson","Wm. E.","DENSON SPRING","Anderson",1917,"2","19","Wm",NA,"male"
"91","Kennedy","Jos.","ELKHART","Anderson",1850,"3","19","Jos","male","male"
"92","Bryan","Jas. W.","ELKHART","Anderson",1874,"1","28","Jas",NA,"male"
"93","Caldwell","Wm. S.","ELKHART","Anderson",1874,"10","13","Wm",NA,"male"
"94","Douthit","E. V.","ELKHART","Anderson",1875,"7","29","E","female","female"
"95","Ray","John C.","ELKHART","Anderson",1876,"1","17","John","male","male"
"96","Harris","Thos. J.","ELKHART","Anderson",1878,"7","22","Thos",NA,"male"
"97","Bryan","Jas. W.","ELKHART","Anderson",1879,"12","16","Jas",NA,"male"
"98","Horn","Stephen","ELKHART","Anderson",1899,"1","19","Stephen","male","male"
"99","Hawthorn","Wm. D.","ELKHART","Anderson",1905,"11","2","Wm",NA,"male"
"100","Kennedy","Aug. E.","ELKHART","Anderson",1913,"9","20","Aug","male","male"
"101","Kennedy","Roger Q.","ELKHART","Anderson",1917,"10","22","Roger","male","male"
"102","Hawthorn","Wm. D.","ELKHART","Anderson",1924,"1","16","Wm",NA,"male"
"103","Rogers","Benj. F.","ELMTOWN","Anderson",1901,"12","11","Benj","male","male"
"104","Tippen","Benj. F.","ELMTOWN","Anderson",1906,"2","23","Benj","male","male"
"105","Elrod","John H.","ELROD","Anderson",1899,"7","5","John","male","male"
"106","Harding","Wm. H.","FITZGERALD","Anderson",1888,"2","20","Wm",NA,"male"
"107","Kelley","Cornelius D.","FITZGERALD","Anderson",1889,"7","15","Cornelius","male","male"
"108","Emerson","Jas. M.","FOSTERVILLE","Anderson",1870,"8","30","Jas",NA,"male"
"109","Dickerson","W. R.","FOSTERVILLE","Anderson",1880,"8","31","W","male","male"
"110","Doughty","Felix F.","FOSTERVILLE","Anderson",1880,"11","9","Felix","male","male"
"111","Neely","J. C.","FOSTERVILLE","Anderson",1881,"8","17","J","male","male"
"112","Milner","T. F.","FOSTERVILLE","Anderson",1881,"10","13","T","male","male"
"113","Welborn","Wm. P.","FOSTERVILLE","Anderson",1883,"1","29","Wm",NA,"male"
"114","Emerson","Jas. M.","FOSTERVILLE","Anderson",1885,"11","25","Jas",NA,"male"
"115","Whitfield","Jerrie C.","FOSTERVILLE","Anderson",1905,"2","25","Jerrie","male","male"
"116","Garrett","Dallas","FRANKSTON","Anderson",1907,"6","19","Dallas","male","male"
"117","Ayres","Sallie M.","FRANKSTON","Anderson",1914,"12","29","Sallie","female","female"
"118","Gardner","Sallie M.","FRANKSTON","Anderson",1917,"7","21","Sallie","female","female"
"119","Campbell","Edgar M.","FRANKSTON","Anderson",1922,"3","2","Edgar","male","male"
"120","Garrett","Basil L.","FRANKSTON","Anderson",1925,"12","1","Basil","male","male"
"121","Garner","Geo. A.","GOODSONVILLE","Anderson",1888,"4","23","Geo","male","male"
"122","Goodson","Jacob","GOODSONVILLE","Anderson",1889,"2","1","Jacob","male","male"
"123","Heidleburg","Paul B.","GOODSONVILLE","Anderson",1893,"12","14","Paul","male","male"
"124","Herrington","Elijah","HANKS","Anderson",1894,"5","21","Elijah","male","male"
"125","Fain","Joel","HENDERSONVILLE","Anderson",1860,"5","21","Joel","male","male"
"126","Fain","Joel","HENDERSONVILLE","Anderson",1861,"7","12","Joel","male","male"
"127","Wallace","Wm. S.","HENDERSONVILLE","Anderson",1867,"2","27","Wm",NA,"male"
"128","Sadler","Wm. T.","IONI","Anderson",1848,"11","30","Wm",NA,"male"
"129","Jones","August K. W.","IONI","Anderson",1858,"6","2","August","male","male"
"130","Fuller","John B.","IONI","Anderson",1859,"11","10","John","male","male"
"131","Miller","Matt.","IONI","Anderson",1860,"2","10","Matt","male","male"
"132","Moore","Wm.","IONI","Anderson",1860,"7","14","Wm",NA,"male"
"133","Moore","Wm.","IONI","Anderson",1862,"1","17","Wm",NA,"male"
"134","Grayson","Robt. P.","IONI","Anderson",1870,"10","14","Robt","male","male"
"135","Howe","D.","IONI","Anderson",1878,"5","6","D","male","male"
"136","Campbell","Wm. H.","IONI","Anderson",1878,"5","24","Wm",NA,"male"
"137","Totty","Wm.","IONI","Anderson",1885,"7","30","Wm",NA,"male"
"138","Thompson","Wm. H.","IONI","Anderson",1888,"5","10","Wm",NA,"male"
"139","Bush","Wm. C.","IONI","Anderson",1892,"3","7","Wm",NA,"male"
"140","Thompson","Wm. H.","IONI","Anderson",1893,"5","10","Wm",NA,"male"
"141","Bush","Jas. E.","IONI","Anderson",1895,"8","27","Jas",NA,"male"
"142","Thompson","Retilla P.","IONI","Anderson",1896,"12","14","Retilla",NA,"male"
"143","Mosley","John","KICKAPOO","Anderson",1850,"12","16","John","male","male"
"144","Baker","David B.","KICKAPOO","Anderson",1852,"6","25","David","male","male"
"145","Miller","Wm. R.","KICKAPOO","Anderson",1853,"12","2","Wm",NA,"male"
"146","Robinson","Asa","KICKAPOO","Anderson",1857,"3","6","Asa","male","male"
"147","Henderson","Jos. D.","KICKAPOO","Anderson",1857,"12","31","Jos","male","male"
"148","Rhome","Romulus J.","KICKAPOO","Anderson",1859,"3","16","Romulus","male","male"
"149","Rhome","R. J.","KICKAPOO","Anderson",1861,"8","6","R","male","male"
"150","Baker","D. B.","KICKAPOO","Anderson",1861,"12","28","D","male","male"
"151","Mosley","Isham","KICKAPOO","Anderson",1866,"3","14","Isham","male","male"
"152","Honigsberger","Isaac","KICKAPOO","Anderson",1866,"11","15","Isaac","male","male"
"153","Buckingham","Thos. H.","KICKAPOO","Anderson",1866,"12","7","Thos",NA,"male"
"154","Garland","Thos. L.","KICKAPOO","Anderson",1869,"8","24","Thos",NA,"male"
"155","Miller","Wm. R.","KICKAPOO","Anderson",1877,"1","9","Wm",NA,"male"
"156","Miller","Reuben C.","KICKAPOO","Anderson",0,"0","17? Aug 1886","Reuben","male","male"
"157","Cook","Jas. M.","KICKAPOO","Anderson",1891,"2","20","Jas",NA,"male"
"158","Freeman","Pierce","KICKAPOO","Anderson",1902,"5","17","Pierce","male","male"
"159","Haygood","Wm. A.","MAGNOLIA","Anderson",1851,"11","17","Wm",NA,"male"
"160","Hagwood","Wm. A.","MAGNOLIA","Anderson",1862,"4","15","Wm",NA,"male"
"161","Fields","Henry","MAGNOLIA","Anderson",1870,"12","21","Henry","male","male"
"162","Thompson","Franklin F.","MANSON","Anderson",1898,"1","31","Franklin","male","male"
"163","Millican","Wm. A.","MARLOW","Anderson",1902,"4","25","Wm",NA,"male"
"164","Anglin","Wm. R.","MARLOW'S MILL","Anderson",1853,"9","9","Wm",NA,"male"
"165","Donson","Ben H.","MASSEY LAKE","Anderson",1922,"12","20","Ben","male","male"
"166","Wilson Sr.","Frank K.","MASSEY LAKE","Anderson",1925,"5","16","Frank","male","male"
"167","Hamilton","Mrs. V. R.","MASSEY LAKE","Anderson",1929,"1","24","V","male","female"
"168","Sumatte","Wm. M.","MITTO","Anderson",1858,"5","10","Wm",NA,"male"
