"","Last","First","Office","County","Year","Month","Day","CleanedFirst","Gender","RefineGender"
"6648","Norwood","W. J.","CALLIS","Collin",1892,"4","4","W","male","male"
"6649","Hope","Amos D.","CALLIS","Collin",1894,"1","12","Amos","male","male"
"6650","Satterwhite","Wm. C.","CALLIS","Collin",1895,"2","28","Wm",NA,"male"
"6651","Rigney","Ferdinand","CALLIS","Collin",1897,"7","31","Ferdinand","male","male"
"6652","Brock","Jas. W.","CALLIS","Collin",1898,"9","14","Jas",NA,"male"
"6653","Mulkey","John T.","CELINA","Collin",1881,"2","28","John","male","male"
"6654","Burruss","Wm. C.","CELINA","Collin",1881,"6","30","Wm",NA,"male"
"6655","Carnes","Alva W.","CELINA","Collin",1882,"8","3","Alva","male","male"
"6656","Mulkey","John T.","CELINA","Collin",1883,"2","27","John","male","male"
"6657","Pigg","Geo. T.","CELINA","Collin",1883,"10","26","Geo","male","male"
"6658","Drake","Maxie","CELINA","Collin",1902,"1","25","Maxie","female","female"
"6659","Johnson","Luther B.","CELINA","Collin",1909,"8","4","Luther","male","male"
"6660","Hunter","Thos. S.","CELINA","Collin",1912,"7","16","Thos",NA,"male"
"6661","Wilson","J. L.","CELINA","Collin",1916,"8","7","J","male","male"
"6662","Wilson","Carrie L.","CELINA","Collin",1917,"1","23","Carrie","female","female"
"6663","Wilson","Chas. F.","CELINA","Collin",1921,"12","20","Chas",NA,"male"
"6664","Bryan","Jacob M.","CHAMBERSVILLE","Collin",1894,"3","6","Jacob","male","male"
"6665","Davis","Jas. L.","CHAMBLISS","Collin",1898,"11","17","Jas",NA,"male"
"6666","Palmer","Robt. L.","CLEARLAKE","Collin",1898,"12","10","Robt","male","male"
"6667","Avery","Ed. U.","CLEARLAKE","Collin",1904,"1","28","Ed","male","male"
"6668","Hogge","Wm.","CLEARLAKE","Collin",1905,"3","3","Wm",NA,"male"
"6669","Hillis","Chas. L.","CLEARLAKE","Collin",1914,"10","23","Chas",NA,"male"
"6670","Hogge","Wm.","CLEARLAKE","Collin",1917,"4","11","Wm",NA,"male"
"6671","Locke","Wm. E.","CLEARLAKE","Collin",1927,"8","4","Wm",NA,"male"
"6672","Osborne","John G.","CLIMAX","Collin",1895,"5","25","John","male","male"
"6673","Caldwell","Cora C.","CLIMAX","Collin",1897,"7","21","Cora","female","female"
"6674","Fagala","Benj. D.","CLIMAX","Collin",1898,"9","14","Benj","male","male"
"6675","Cope","John M.","COPEVILLE","Collin",1878,"6","5","John","male","male"
"6676","Pool","Geo. W.","COPEVILLE","Collin",1880,"5","3","Geo","male","male"
"6677","Cope","Willey L.","COPEVILLE","Collin",1881,"2","15","Willey","male","male"
"6678","McMinn","Milton P.","COPEVILLE","Collin",1883,"11","12","Milton","male","male"
"6679","Blount","Ed. E.","COPEVILLE","Collin",1888,"11","26","Ed","male","male"
"6680","Campbell","Matthew E.","COPEVILLE","Collin",0,"0","12 Mar1891","Matthew",NA,"male"
"6681","Lockhart","John F.","COPEVILLE","Collin",1894,"1","26","John","male","male"
"6682","Jones","Alex. B.","COPEVILLE","Collin",1895,"6","17","Alex","male","male"
"6683","Stevens","Stanley G.","COPEVILLE","Collin",1905,"11","28","Stanley","male","male"
"6684","Yaw","John A.","COPEVILLE","Collin",1915,"3","19","John","male","male"
"6685","Baty","M. Walter","COPEVILLE","Collin",1917,"7","13","M","female","female"
"6686","Craft","Harry C.","COPEVILLE","Collin",1918,"3","16","Harry","male","male"
"6687","Pearce","Lizzie","COPEVILLE","Collin",1928,"8","24","Lizzie","female","female"
"6688","Morrow","John P.","CULLEOKA","Collin",1893,"5","29","John","male","male"
"6689","Cosby","John H.","CULLEOKA","Collin",1895,"11","9","John","male","male"
"6690","Gambrell","Geo. W.","CULLEOKA","Collin",1905,"1","19","Geo","male","male"
"6691","Jones","Jas. C.","CULLEOKA","Collin",1906,"5","24","Jas",NA,"male"
"6692","Webster","Wm. A.","DESERT","Collin",1893,"1","7","Wm",NA,"male"
"6693","McClure","Jas. A.","DONNA","Collin",1897,"10","9","Jas",NA,"male"
"6694","Huebsch","Andrew","DONNA","Collin",1898,"9","28","Andrew","male","male"
"6695","Bellmyre","Ed.","DUMP","Collin",1899,"3","2","Ed","male","male"
"6696","Marchant","Eugene B.","DUMP","Collin",1900,"6","15","Eugene","male","male"
"6697","Grimes","John T.","EMPIRE","Collin",1885,"1","27","John","male","male"
"6698","Sneed","Robt. S.","ENGLEMAN","Collin",1886,"6","21","Robt","male","male"
"6699","Stratton","James E.","ENGLEMAN","Collin",1887,"10","12","James","male","male"
"6700","Bristol","Wm. H.","ERUDIA","Collin",1895,"6","17","Wm",NA,"male"
"6701","Duncan","Thos.","ERUDIA","Collin",1900,"4","30","Thos",NA,"male"
"6702","Sherwood","Thos. E.","FARMERSVILLE","Collin",1857,"5","4","Thos",NA,"male"
"6703","Gotcher","Wm. A.","FARMERSVILLE","Collin",1859,"11","18","Wm",NA,"male"
"6704","Lansford","Saml.","FARMERSVILLE","Collin",1861,"10","12","Saml","male","male"
"6705","Heatherly","Octavius","FARMERSVILLE","Collin",1866,"10","8","Octavius","male","male"
"6706","Peters","Miss Ella R.","FARMERSVILLE","Collin",1867,"2","13","Ella","female","female"
"6707","Hamilton","Sam R.","FARMERSVILLE","Collin",1870,"5","20","Sam","male","male"
"6708","Wilcoxson","Robt. M.","FARMERSVILLE","Collin",1870,"7","19","Robt","male","male"
"6709","Murchison","R.","FARMERSVILLE","Collin",1874,"8","31","R","male","male"
"6710","Murchison","W. D.","FARMERSVILLE","Collin",1876,"2","7","W","male","male"
"6711","Murchison","Rora","FARMERSVILLE","Collin",1880,"2","10","Rora","male","male"
"6712","Farish","Larkin B.","FARMERSVILLE","Collin",1883,"11","26","Larkin","male","male"
"6713","Farish","Mary E.","FARMERSVILLE","Collin",1888,"12","18","Mary","female","female"
"6714","Chapman","Wm. H.","FARMERSVILLE","Collin",1896,"6","10","Wm",NA,"male"
"6715","Morten","Ed. W.","FARMERSVILLE","Collin",1899,"2","15","Ed","male","male"
"6716","Aston","Wm. S.","FARMERSVILLE","Collin",1910,"11","24","Wm",NA,"male"
"6717","Bivens","E. D.","FARMERSVILLE","Collin",1912,"11","9","E","male","male"
"6718","Rike","R. S.","FARMERSVILLE","Collin",1913,"5","20","R","male","male"
"6719","Simon","Hugo","FARMERSVILLE","Collin",1922,"3","29","Hugo","male","male"
"6720","Carmack","Robt. C.","FARMERSVILLE","Collin",1930,"4","10","Robt","male","male"
"6721","Peterson","Knud M.","FAY","Collin",1882,"6","8","Knud","male","male"
"6722","Ellis","Geo. W.","FAYBURG","Collin",1893,"11","6","Geo","male","male"
"6723","[Apparently re-established] Ellis","Geo. W.","FAYBURG","Collin",1914,"9","8","Geo","male","male"
"6724","Griffith","Jas. G.","FAYBURGH","Collin",1884,"3","4","Jas",NA,"male"
"6725","Patterson","Wm.","FAYBURGH","Collin",1885,"1","20","Wm",NA,"male"
"6726","Thompson","Alfred M.","FAYBURGH","Collin",1885,"8","31","Alfred","male","male"
"6727","Bristol","Wm. H.","FAYBURGH","Collin",1886,"8","17","Wm",NA,"male"
"6728","Lindsay","Alex H.","FAYBURGH","Collin",1887,"8","29","Alex","male","male"
"6729","Stinebaugh","John","FAYBURGH","Collin",1887,"12","23","John","male","male"
"6730","Brown","Silas M.","FAYBURGH","Collin",1888,"4","28","Silas","male","male"
"6731","McDonald","Robt. B.","FAYBURGH","Collin",1888,"11","25","Robt","male","male"
"6732","Miller","Lewis L.","FAYBURGH","Collin",1890,"2","15","Lewis","male","male"
"6733","Lindsay","Nelson P.","FAYBURGH","Collin",1891,"1","17","Nelson","male","male"
"6734","Reese","Rupert F.","FONCINE","Collin",1895,"2","18","Rupert","male","male"
"6735","Crues","John L.","FONCINE","Collin",1901,"2","8","John","male","male"
"6736","Cox","John W.","FOOT","Collin",1901,"1","16","John","male","male"
"6737","Wilson","Willis","FRANKFORD","Collin",1887,"12","21","Willis","male","male"
"6738","Phillip","Seaborn M.","FRANKFORD","Collin",1888,"1","19","Seaborn","male","male"
"6739","Jones","Wm. J.","FRANKFORD","Collin",1893,"5","5","Wm",NA,"male"
"6740","Ritchie","Robt. L.","FRANKFORD","Collin",1897,"12","11","Robt","male","male"
"6741","Nance","John T.","FRANKFORD","Collin",1902,"9","30","John","male","male"
"6742","Duncan","Thos.","FRISCO","Collin",1902,"4","24","Thos",NA,"male"
"6743","Baccus","Jennie","FRISCO","Collin",1925,"3","14","Jennie","female","female"
"6744","Jones","Garland P.","GRAYBILL","Collin",1881,"6","14","Garland","male","male"
"6745","Fogg","Washington P.","GRAYBILL","Collin",1885,"1","5","Washington","male","male"
"6746","Holcomb","Geo. W.","GRAYBILL","Collin",1891,"1","28","Geo","male","male"
"6747","Edwards","Laura J.","GRAYBILL","Collin",1903,"11","20","Laura","female","female"
"6748","Snider","John P.","GROVE","Collin",1899,"5","27","John","male","male"
"6749","Faulkner","Jas. B.","GROVE","Collin",1900,"6","15","Jas",NA,"male"
"6750","Durgan","W. A.","GROVE","Collin",1900,"12","18","W","male","male"
"6751","Faulkner","Jas. B.","GROVE","Collin",1900,"6","15","Jas",NA,"male"
"6752","Pulliam","Wm. H.","HACKBERRY BLUFF","Collin",1847,"1","29","Wm",NA,"male"
"6753","Rollins","Henry M.","HANCOCK","Collin",1880,"7","21","Henry","male","male"
"6754","Bickley","Marion T.","HANCOCK","Collin",1880,"8","18","Marion","male","male"
"6755","Rollins","Henry M.","HANCOCK","Collin",1880,"12","27","Henry","male","male"
"6756","Bailey","Thos. A.","HICKMAN","Collin",1894,"3","29","Thos",NA,"male"
"6757","Striplin","Fox","HICKMAN","Collin",1897,"2","9","Fox","male","male"
"6758","Johnson","Chas. H.","HICKMAN","Collin",1897,"7","31","Chas",NA,"male"
"6759","Cain","Wm. J.","HICKMAN","Collin",1899,"1","26","Wm",NA,"male"
"6760","Foster","Isaac N.","HIGHLAND","Collin",1853,"9","9","Isaac","male","male"
"6761","Wysong","Chas. H.","HIGHLAND","Collin",1858,"8","3","Chas",NA,"male"
"6762","Wysong","E. H.","HIGHLAND","Collin",1861,"7","12","E","female","female"
"6763","Lacey","Dr. Alvin C.","HIGHLAND","Collin",1866,"4","17","Alvin","male","male"
"6764","Parris","Bettie","HIGHLAND","Collin",1871,"8","14","Bettie","female","female"
"6765","Stubblefield","Jos. M.","JOSEPHINE","Collin",1888,"7","25","Jos","male","male"
"6766","Robison","Be B.","JOSEPHINE","Collin",1894,"11","30","Be","male","male"
"6767","Garner","Marshall S.","JOSEPHINE","Collin",1898,"7","13","Marshall","male","male"
"6768","Abell","Jas. B.","JOSEPHINE","Collin",1914,"10","29","Jas",NA,"male"
"6769","O'Neal","John B.","KNOX","Collin",1892,"5","17","John","male","male"
"6770","Teague","Moses B.","KNOX","Collin",1892,"6","9","Moses","male","male"
"6771","Hinton","Jas. R.","KNOX","Collin",1894,"12","26","Jas",NA,"male"
"6772","Teague Jr.","Moses B.","KNOX","Collin",1896,"3","6","Moses","male","male"
"6773","Bills","Ransom P.","LAKE MILLS","Collin",1878,"10","16","Ransom","male","male"
"6774","Colson","Wm. M.","LAKE MILLS","Collin",1880,"1","12","Wm",NA,"male"
"6775","Moore","Eli","LAKE MILLS","Collin",1882,"7","27","Eli","male","male"
"6776","Johnson","Alvin W.","LAVON","Collin",1899,"11","23","Alvin","male","male"
"6777","Rees","Jas. L.","LAVON","Collin",1900,"12","10","Jas",NA,"male"
"6778","Poe","Sallie B.","LAVON","Collin",1919,"7","10","Sallie","female","female"
"6779","Foote","Jas. W.","LAVON","Collin",1920,"4","7","Jas",NA,"male"
"6780","Boren","E. A.","LAVON","Collin",1921,"3","8","E","male","male"
"6781","Forder","Chas. A.","LAVON","Collin",1922,"1","12","Chas",NA,"male"
"6782","Geren","Iva I.","LAVON","Collin",1923,"2","8","Iva","female","female"
"6783","Forder","Chas. A.","LAVON","Collin",1931,"11","18","Chas",NA,"male"
"6784","Shelbourne","B. S.","LEBANON","Collin",1861,"5","8","B","male","male"
"6785","Dunaway","Foster W.","LEBANON","Collin",1862,"12","31","Foster","male","male"
"6786","Reeves","John I.","LEBANON","Collin",1867,"2","19","John","male","male"
"6787","Dewey","C. C.","LEBANON","Collin",1871,"4","12","C","male","male"
"6788","Huffman","Elijah L.","LEBANON","Collin",1873,"6","12","Elijah","male","male"
"6789","Crozier","Andrew","LEBANON","Collin",1874,"10","26","Andrew","male","male"
"6790","Bowers","A. M.","LEBANON","Collin",1875,"11","30","A","male","male"
"6791","Depp","Thos.","LEBANON","Collin",1876,"12","22","Thos",NA,"male"
"6792","Howell","Robt. M.","LEBANON","Collin",1877,"5","16","Robt","male","male"
"6793","Addison","Lewis C.","LEBANON","Collin",1878,"1","31","Lewis","male","male"
"6794","Johnson","Thos. D.","LEBANON","Collin",1879,"1","21","Thos",NA,"male"
"6795","Stevens","John W.","LEBANON","Collin",1881,"6","15","John","male","male"
"6796","Wolfe","Wm. G.","LEBANON","Collin",1898,"5","12","Wm",NA,"male"
"6797","Stevens","John W.","LEBANON","Collin",1881,"6","15","John","male","male"
"6798","Green","Wm. T.","LEBANON","Collin",1903,"8","10","Wm",NA,"male"
"6799","Broyles","Benj. F.","LEBANON","Collin",1904,"12","23","Benj","male","male"
"6800","Hamell","Moses S.","LIEU","Collin",1887,"12","20","Moses","male","male"
"6801","Coleman","Jas. D.","LINT","Collin",1886,"7","7","Jas",NA,"male"
"6802","Seabourn","John","LONE TREE","Collin",1859,"3","4","John","male","male"
"6803","Seabourn","John","LONE TREE","Collin",1861,"8","5","John","male","male"
"6804","Seabourn","Miss Martha","LONE TREE","Collin",1867,"7","10","Martha","female","female"
"6805","Lee","Jas. E.","LONE TREE","Collin",1870,"8","1","Jas",NA,"male"
"6806","Spurgin","Wm.","LONE TREE","Collin",1873,"5","28","Wm",NA,"male"
"6807","Lucas","Gabriel H.","LUCAS","Collin",1888,"5","11","Gabriel","male","male"
"6808","Bradley","Geo. W.","LUCAS","Collin",1890,"7","17","Geo","male","male"
"6809","Gallagher","Jas. M.","LUCAS","Collin",1891,"5","15","Jas",NA,"male"
"6810","Moss","John G. J.","LUCAS","Collin",1891,"10","8","John","male","male"
"6811","Coffey","Robt. H.","LUCAS","Collin",1892,"6","29","Robt","male","male"
"6812","Armstrong","Stokley T.","LUCAS","Collin",1898,"11","2","Stokley","male","male"
"6813","Armstrong","John A.","LUCAS","Collin",1903,"1","29","John","male","male"
"6814","Morrow","Rufus E.","LUCAS","Collin",1903,"6","5","Rufus","male","male"
"6815","Stewart","Joel F.","McKINNEY","Collin",1848,"5","31","Joel","male","male"
"6816","Lovejoy","John L.","McKINNEY","Collin",1848,"11","10","John","male","male"
"6817","Martin","Leonidas M.","McKINNEY","Collin",1852,"2","6","Leonidas","male","male"
"6818","Haynes","John W.","McKINNEY","Collin",1855,"1","26","John","male","male"
"6819","Stiff","David","McKINNEY","Collin",1857,"1","13","David","male","male"
"6820","Lowry","Thos. A.","McKINNEY","Collin",1860,"3","6","Thos",NA,"male"
"6821","Engle","B. F.","McKINNEY","Collin",1860,"3","29","B","male","male"
"6822","Pegues","G. H.","McKINNEY","Collin",1861,"8","5","G","male","male"
"6823","Thomas","J. K.","McKINNEY","Collin",1862,"10","9","J","male","male"
"6824","Carty","Jas. B.","McKINNEY","Collin",1863,"2","10","Jas",NA,"male"
"6825","Estricher","Wolf","McKINNEY","Collin",1864,"8","19","Wolf","male","male"
"6826","Thomas","Jas. W.","McKINNEY","Collin",1865,"11","29","Jas",NA,"male"
"6827","Chastain","Jos. I.","McKINNEY","Collin",1870,"12","19","Jos","male","male"
"6828","Thomas","Jas. W.","McKINNEY","Collin",1874,"3","20","Jas",NA,"male"
"6829","Cox","Wm. T.","McKINNEY","Collin",1887,"2","14","Wm",NA,"male"
"6830","Smith","Hugo E.","McKINNEY","Collin",1890,"5","7","Hugo","male","male"
"6831","Cameron","Missouri A.","McKINNEY","Collin",1894,"4","23","ouri",NA,"female"
"6832","Smith","Hugo E.","McKINNEY","Collin",1898,"3","31","Hugo","male","male"
"6833","Burton","N. A.","McKINNEY","Collin",1913,"5","1","N","male","male"
"6834","Wilson","Wallace C.","McKINNEY","Collin",1922,"7","21","Wallace","male","male"
"6835","Rollins","Eliphalet B.","MANTUA","Collin",1858,"6","29","Eliphalet","male","male"
"6836","Rollins","E. B.","MANTUA","Collin",1861,"7","12","E","female","female"
"6837","Rollins","Eliphalet B.","MANTUA","Collin",1870,"7","22","Eliphalet","male","male"
"6838","Bamberg","Robt. L.","MANTUA","Collin",1870,"12","22","Robt","male","male"
"6839","Lloyd","Wm. F.","MAPLE","Collin",1890,"3","4","Wm",NA,"male"
"6840","Brown","Chas. E.","MAPLE","Collin",1892,"3","2","Chas",NA,"male"
"6841","Hays","Robt. P.","MAPLE","Collin",1892,"6","24","Robt","male","male"
"6842","Arnspiger","Wm. W.","MAPLE","Collin",1892,"10","6","Wm",NA,"male"
"6843","Sone","Thos. M.","MAPLE","Collin",1893,"7","11","Thos",NA,"male"
"6844","Byers","Jas. A.","MAPLE","Collin",1899,"11","21","Jas",NA,"male"
"6845","Earthman","A. H.","MAPLE","Collin",1890,"9","30","A","male","male"
"6846","Douglas","Albert H.","MAPLE","Collin",1901,"12","6","Albert","male","male"
"6847","McPherson","Ben P.","MAXWELL","Collin",1884,"3","21","Ben","male","male"
"6848","Rogers","Jas. R.","MELISSA","Collin",1873,"5","16","Jas",NA,"male"
"6849","Scott","L. A.","MELISSA","Collin",1875,"10","19","L","male","male"
"6850","Paden","Wm.","MELISSA","Collin",1876,"6","12","Wm",NA,"male"
"6851","Graves","Geo. H.","MELISSA","Collin",1882,"1","9","Geo","male","male"
"6852","Moore","J. F.","MELISSA","Collin",1882,"2","3","J","male","male"
"6853","McAnally","Williamson","MELISSA","Collin",1882,"9","18","Williamson","male","male"
"6854","Graves","Geo. H.","MELISSA","Collin",1883,"5","31","Geo","male","male"
"6855","Largent","Charlie M.","MELISSA","Collin",1888,"3","22","Charlie","male","male"
"6856","Largent","Isaac T.","MELISSA","Collin",1888,"10","16","Isaac","male","male"
"6857","Scott","Reuben J.","MELISSA","Collin",1889,"5","31","Reuben","male","male"
"6858","Graves","Geo. H.","MELISSA","Collin",1893,"8","12","Geo","male","male"
"6859","Beyett","Jos. J.","MELISSA","Collin",1901,"4","24","Jos","male","male"
"6860","Rucker","Clarence M.","MELISSA","Collin",1906,"12","24","Clarence","male","male"
"6861","Bassham","Jas. L.","MELISSA","Collin",1907,"4","3","Jas",NA,"male"
"6862","Rucker","Clarence M.","MELISSA","Collin",1906,"12","24","Clarence","male","male"
"6863","Dennis","Chas. L.","MELISSA","Collin",1910,"3","28","Chas",NA,"male"
"6864","Parris","Lou E.","MELISSA","Collin",1915,"3","25","Lou","female","female"
"6865","Davis","Walter L.","MELISSA","Collin",1918,"5","21","Walter","male","male"
"6866","Wagner","Zylpha P.","MELISSA","Collin",1920,"4","12","Zylpha","female","female"
"6867","Bridgefarmer","Alvin H.","MELISSA","Collin",1925,"1","14","Alvin","male","male"
"6868","Spearman","Spencer S.","MELISSA","Collin",1925,"7","1","Spencer","male","male"
"6869","Nevil","Oliver","MELISSA","Collin",1931,"10","19","Oliver","male","male"
"6870","McCallon","Newton H.","MERIT","Collin",1885,"6","15","Newton","male","male"
"6871","Smith","Jas.","MILLWOOD","Collin",1851,"5","21","Jas",NA,"male"
"6872","Naylor","Jas. D.","MILLWOOD","Collin",1857,"3","21","Jas",NA,"male"
"6873","Wood","Jos.","MILLWOOD","Collin",1857,"11","19","Jos","male","male"
"6874","Smith","Jas.","MILLWOOD","Collin",1858,"7","27","Jas",NA,"male"
"6875","Reed","Jas. L.","MILLWOOD","Collin",1859,"5","19","Jas",NA,"male"
"6876","Naylor","Jas. D.","MILLWOOD","Collin",1859,"6","9","Jas",NA,"male"
"6877","Naylor","Jas. D.","MILLWOOD","Collin",1861,"7","12","Jas",NA,"male"
"6878","Collins","Thos. P.","MILLWOOD","Collin",1862,"4","18","Thos",NA,"male"
"6879","Naylor","Jas. D.","MILLWOOD","Collin",1863,"4","16","Jas",NA,"male"
"6880","Walker","Andrew","MILLWOOD","Collin",1866,"4","10","Andrew","male","male"
"6881","Jones","Miss Mary F.","MILLWOOD","Collin",1866,"7","12","Mary","female","female"
"6882","Bateman","Abraham J.","MILLWOOD","Collin",1867,"5","29","Abraham","male","male"
"6883","Darnell","Mrs. Minnie C.","MILLWOOD","Collin",1870,"1","27","Minnie","female","female"
"6884","Kirby","Chas.","MILLWOOD","Collin",1870,"5","12","Chas",NA,"male"
"6885","Taylor","Reuben A.","MILLWOOD","Collin",1872,"4","29","Reuben","male","male"
"6886","Lee","Benj. F.","MILLWOOD","Collin",1873,"6","16","Benj","male","male"
"6887","Jones","Calvin E.","MILLWOOD","Collin",1874,"3","10","Calvin","male","male"
"6888","Taylor","Reuben A.","MILLWOOD","Collin",1875,"4","20","Reuben","male","male"
"6889","Lee","Benj. F.","MILLWOOD","Collin",1878,"7","11","Benj","male","male"
"6890","Mercer","Andrew E.","MILLWOOD","Collin",1878,"12","16","Andrew","male","male"
"6891","Naylor","Wm. E.","MILLWOOD","Collin",1885,"5","4","Wm",NA,"male"
"6892","Hope","Thos.","MILLWOOD","Collin",1885,"12","2","Thos",NA,"male"
"6893","Stafford","Elias N.","MILLWOOD","Collin",1886,"12","21","Elias","male","male"
"6894","Phillips","Jas. C.","MILLWOOD","Collin",1891,"1","19","Jas",NA,"male"
"6895","Nunn","Jas. M.","MILLWOOD","Collin",1891,"8","19","Jas",NA,"male"
"6896","Taylor","Francis H.","MILLWOOD","Collin",1896,"10","17","Francis","male","male"
"6897","Cade","Lee","MILLWOOD","Collin",1901,"2","1","Lee","male","male"
"6898","Stout","John","MILLWOOD","Collin",1907,"3","19","John","male","male"
"6899","Bellows","Appleton A.","MORELAND","Collin",1894,"11","13","Appleton","male","male"
"6900","Murphy","Jas. T.","MURPHY","Collin",1891,"1","30","Jas",NA,"male"
"6901","Moulden","Wm. T.","MURPHY","Collin",1898,"5","6","Wm",NA,"male"
"6902","Moulden","Wm. T.","MURPHY","Collin",1898,"5","6","Wm",NA,"male"
"6903","Davis","Jesse S.","MURPHY","Collin",1910,"9","26","Jesse","male","male"
"6904","Jackson","Wm. A.","MURPHY","Collin",1913,"10","14","Wm",NA,"male"
"6905","Allison","Marion A.","MURPHY","Collin",1919,"8","15","Marion","female","female"
"6906","Harvey","John H.","MURPHY","Collin",1921,"7","23","John","male","male"
"6907","Stewart","John R.","MURPHY","Collin",1922,"1","27","John","male","male"
"6908","Hagin","Sam","MURPHY","Collin",1922,"9","15","Sam","male","male"
"6909","Greer","Luther C.","MURPHY","Collin",1928,"5","16","Luther","male","male"
"6910","Phillips","Robt. D.","NEVADA","Collin",1883,"3","26","Robt","male","male"
"6911","Foy","Jas. B.","NEVADA","Collin",1884,"1","28","Jas",NA,"male"
"6912","Payne","Frank G.","NEVADA","Collin",1884,"11","21","Frank","male","male"
"6913","Rucker","Wm. H.","NEVADA","Collin",1884,"12","2","Wm",NA,"male"
"6914","Davie","Gabriel J.","NEVADA","Collin",1893,"12","18","Gabriel","male","male"
"6915","Burrow","Nimrod C.","NEVADA","Collin",1897,"11","12","Nimrod","male","male"
"6916","Rucker","Wm. H.","NEVADA","Collin",1907,"1","30","Wm",NA,"male"
"6917","Jackson","John H.","NEVADA","Collin",1914,"11","4","John","male","male"
"6918","Patterson","Ben","NEVADA","Collin",1920,"9","2","Ben","male","male"
"6919","Rucker","Wm. H.","NEVADA","Collin",1922,"2","20","Wm",NA,"male"
"6920","Rucker","Carl H.","NEVADA","Collin",1923,"12","3","Carl","male","male"
"6921","Rucker","Ethel L.","NEVADA","Collin",1926,"8","16","Ethel","female","female"
"6922","Mayo","Elmer J.","NEVADA","Collin",1927,"4","1","Elmer","male","male"
"6923","McCarty","Francis L.","NICKELVILLE","Collin",1883,"8","29","Francis","male","male"
"6924","Butler","John F.","NICKELVILLE","Collin",1886,"1","20","John","male","male"
"6925","Kennedy","Geo. W.","PARKER","Collin",1888,"4","12","Geo","male","male"
"6926","Johnson","Thos. L.","PARKER","Collin",1893,"10","5","Thos",NA,"male"
"6927","McGowan","Chas. L.","PIKE","Collin",1885,"11","11","Chas",NA,"male"
"6928","Boren","Allen W.","PIKE","Collin",1890,"8","15","Allen","male","male"
"6929","Hope","Amos D.","PIKE","Collin",1893,"5","8","Amos","male","male"
"6930","Edwards","Geo. L.","PIKE","Collin",1893,"10","30","Geo","male","male"
"6931","Creswell","Adam I.","PIKE","Collin",1897,"7","22","Adam","male","male"
"6932","Smith","Weldon","PIKE","Collin",1915,"7","30","Weldon","male","male"
"6933","Creswell","Albert","PIKE","Collin",1917,"8","30","Albert","male","male"
"6934","Henderson","Lawson P.","PIKE","Collin",1925,"6","8","Lawson","male","male"
"6935","Criswell","Albert A.","PIKE","Collin",1926,"6","1","Albert","male","male"
"6936","Henderson","Verna L.","PIKE","Collin",1926,"10","28","Verna","female","female"
"6937","McGuffey","Cora B.","PIKE","Collin",1928,"1","6","Cora","female","female"
"6938","Forman","Wm.","PLANO","Collin",1852,"10","9","Wm",NA,"male"
"6939","Hoffar","Henry H.","PLANO","Collin",1856,"4","15","Henry","male","male"
"6940","Blalock","Wm. B.","PLANO","Collin",1856,"12","24","Wm",NA,"male"
"6941","Blalock","W. B.","PLANO","Collin",1861,"7","12","W","male","male"
"6942","Buster","John W.","PLANO","Collin",1866,"1","30","John","male","male"
"6943","Flack","Mrs. N. M.","PLANO","Collin",1866,"4","17","N","male","female"
"6944","McCown","Jas. M.","PLANO","Collin",1866,"10","11","Jas",NA,"male"
"6945","Martin","Jas. H.","PLANO","Collin",1869,"9","20","Jas",NA,"male"
"6946","Overaker","Henry C.","PLANO","Collin",1873,"1","28","Henry","male","male"
"6947","Brock","John W.","PLANO","Collin",1873,"9","18","John","male","male"
"6948","Dewey","Chester C.","PLANO","Collin",1875,"12","1","Chester","male","male"
"6949","Alexander","John P.","PLANO","Collin",1886,"3","27","John","male","male"
"6950","Livingston","Robt. L.","PLANO","Collin",1889,"2","19","Robt","male","male"
"6951","Crow","Jas. A.","PLANO","Collin",1896,"5","6","Jas",NA,"male"
"6952","Moody","John M.","PLANO","Collin",1901,"3","2","John","male","male"
"6953","Barkham","Harry H.","PLANO","Collin",1905,"6","14","Harry","male","male"
"6954","Crow","Jas. A.","PLANO","Collin",1914,"2","2","Jas",NA,"male"
"6955","Rasor","Chester D.","PLANO","Collin",1924,"12","18","Chester","male","male"
"6956","Dunn","Ruel D.","PLANO","Collin",1929,"12","16","Ruel","male","male"
"6957","Daniels","Alex.","PRICE","Collin",1893,"5","29","Alex","male","male"
"6958","Harrelson","Walter A.","PRINCETON","Collin",1888,"11","24","Walter","male","male"
"6959","Wilson","Alma","PRINCETON","Collin",1897,"8","3","Alma","female","female"
"6960","Smith","Allie","PRINCETON","Collin",1915,"1","9","Allie","female","female"
"6961","Chappell","Clara","PRINCETON","Collin",1921,"1","24","Clara","female","female"
"6962","Gantt","John R.","PRINCETON","Collin",1921,"10","14","John","male","male"
"6963","Adamson","Larkin A.","PROSPER","Collin",1893,"5","22","Larkin","male","male"
"6964","Naugle","Benj. J.","PROSPER","Collin",1896,"11","25","Benj","male","male"
"6965","Chapman","Willis B.","PROSPER","Collin",1915,"3","18","Willis","male","male"
"6966","Naugle","Benj. J.","PROSPER","Collin",1915,"8","16","Benj","male","male"
"6967","Hudson","Geo. F.","RENNER","Collin",1888,"7","13","Geo","male","male"
"6968","Jackson","Frank W.","RENNER","Collin",1891,"3","2","Frank","male","male"
"6969","Pope","Wm. E.","RENNER","Collin",1893,"4","29","Wm",NA,"male"
