Post Office,County1,County2,County3,State,Region,Subregion,Established,Discontinued,Stamp Rarity Factor,Continuous,GNIS_Match,Score,GNIS_ID,GNIS_Feature,GNIS_Type,GNIS_County,GNIS_State,Latitude,Longitude,Coordinates
ERASTUS,Greer,,,TX,Midwest,South Midwest,1881,1881,9,Y,FALSE,,,,,,,,,N
ERATH,Erath,,,TX,Midwest,South Midwest,1858,1860,7,Y,FALSE,,,,,,,,,N
ERATH,McLennan,,,TX,Midwest,South Midwest,1896,1907,5,Y,TRUE,100,1379730,Erath,Populated Place,McLennan,TX,31.6332194,-97.2636196,Y
ERIE,Polk,,,TX,Midwest,South Midwest,1871,1872,8,Y,FALSE,,,,,,,,,N
ERIN,Jasper,,,TX,Midwest,South Midwest,1847,1923,3,Y,TRUE,100,1379731,Erin,Populated Place,Jasper,TX,30.7796473,-93.9968529,Y
ERNA,Mason,,,TX,Midwest,South Midwest,1890,1896,6,Y,FALSE,,,,,,,,,N
ERNA,Menard,,,TX,Midwest,South Midwest,1915,1919,5,Y,TRUE,100,1379732,Erna,Populated Place,Menard,TX,30.7507345,-99.485895,Y
ERNEST,Travis,,,TX,Midwest,South Midwest,1891,1891,8,Y,FALSE,,,,,,,,,N
ERNST,Atascosa,,,TX,Midwest,South Midwest,1907,1912,5,Y,FALSE,,,,,,,,,N
ERSKINE,Concho,,,TX,Midwest,South Midwest,1883,1887,7,Y,FALSE,,,,,,,,,N
ERUDIA,Collin,,,TX,Midwest,South Midwest,1895,1902,5,Y,FALSE,,,,,,,,,N
ERWIN,Grimes,,,TX,Midwest,South Midwest,1896,1923,3,Y,TRUE,100,1379733,Erwin,Populated Place,Grimes,TX,30.4860363,-96.0599559,Y
ESBON,Llano,,,TX,Midwest,South Midwest,1901,1915,4,Y,FALSE,,,,,,,,,N
ESCARBADA,Deaf Smith,,,TX,Midwest,South Midwest,1889,1891,7,Y,FALSE,,,,,,,,,N
ESCOBARES,Starr,,,TX,Midwest,South Midwest,1901,1903,6,Y,TRUE,100,1335491,Escobares,Populated Place,Starr,TX,26.4106186,-98.9625294,Y
ESCOBAS,Zapata,,,TX,Midwest,South Midwest,1936,1973,1,Y,TRUE,100,1378269,Escobas,Populated Place,Zapata,TX,27.0625388,-99.0236427,Y
ESHMAN,Erath,,,TX,Midwest,South Midwest,1902,1904,6,Y,FALSE,,,,,,,,,N
ESKOTA,Fisher,,,TX,Midwest,South Midwest,1888,1954,1,Y,TRUE,100,1378270,Eskota,Populated Place,Fisher,TX,32.5248399,-100.2470469,Y
ESOM HILL,Trinity,,,TX,Midwest,South Midwest,1871,1871,9,Y,FALSE,,,,,,,,,N
ESPARANZA,Smith,,,TX,Midwest,South Midwest,1871,1872,7,Y,FALSE,,,,,,,,,N
ESPARANZA,Jim Hogg,,,TX,Midwest,South Midwest,1887,1888,7,Y,FALSE,,,,,,,,,N
ESPERANZA,Montgomery,,,TX,Midwest,South Midwest,1899,1925,2,Y,TRUE,100,2034808,Esperanza,Populated Place,Montgomery,TX,30.4879806,-95.4913315,Y
ESPERANZA,Hudspeth,,,TX,Midwest,South Midwest,1935,1959,1,Y,TRUE,100,1379734,Esperanza,Populated Place,Hudspeth,TX,31.1595734,-105.7105186,Y
ESPUELA,Dickens,,,TX,Midwest,South Midwest,1891,1910,4,Y,TRUE,100,1369049,Espuela,Populated Place,Dickens,TX,33.4764767,-100.8556857,Y
ESSEX,Upshur,,,TX,Midwest,South Midwest,1891,1902,5,Y,FALSE,,,,,,,,,N
ESSIE,Jones,,,TX,Midwest,South Midwest,1907,1909,5,Y,FALSE,,,,,,,,,N
ESTACADDO,Crosby,,,TX,Midwest,South Midwest,1881,1884,6,Y,TRUE,88.88888889,1373675,Estacado,Populated Place,Crosby,TX,33.7523056,-101.5618297,Y
ESTACADO,Crosby,,,TX,Midwest,South Midwest,1884,1918,3,Y,TRUE,100,1373675,Estacado,Populated Place,Crosby,TX,33.7523056,-101.5618297,Y
ESTELLE,Tarrant,,,TX,Midwest,South Midwest,1881,1886,5,Y,FALSE,,,,,,,,,N
ESTELLE,Dallas,,,TX,Midwest,South Midwest,1886,1904,4,Y,TRUE,100,1378271,Estelle,Populated Place,Dallas,TX,32.8662384,-97.0130632,Y
ESTELLINE,Hall,,,TX,Midwest,South Midwest,1892,,0,Y,TRUE,100,2731448,Estelline Post Office,Post Office,Hall,TX,34.547156,-100.44001,Y
ESTES,Aransas,,,TX,Midwest,South Midwest,1909,1914,5,Y,TRUE,100,1378272,Estes,Populated Place,Aransas,TX,27.9639094,-97.1002675,Y
ESTILL'S STATION,Tarrant,,,TX,Midwest,South Midwest,1857,1868,7,Y,FALSE,,,,,,,,,N
ETHEL,Grayson,,,TX,Midwest,South Midwest,1885,1902,5,Y,TRUE,100,1357088,Ethel,Populated Place,Grayson,TX,33.5437202,-96.8441658,Y
ETNA,Smith,,,TX,Midwest,South Midwest,1867,1881,6,Y,FALSE,,,,,,,,,N
ETNA,Cherokee,,,TX,Midwest,South Midwest,1881,1883,6,Y,FALSE,,,,,,,,,N
ETNA,Franklin,,,TX,Midwest,South Midwest,1901,1905,6,Y,FALSE,,,,,,,,,N
ETOILE,Nacogdoches,,,TX,Midwest,South Midwest,1886,,0,Y,TRUE,100,2732338,Etoile Post Office,Post Office,Nacogdoches,TX,31.3760086,-94.3972003,Y
ETTA,Harris,,,TX,Midwest,South Midwest,1897,1900,6,Y,FALSE,,,,,,,,,N
ETTER,Moore,,,TX,Midwest,South Midwest,1931,1944,2,Y,TRUE,100,1357091,Etter,Populated Place,Moore,TX,36.0269801,-101.9996217,Y
ETTOWA,Gonzales,,,TX,Midwest,South Midwest,1890,1891,7,Y,TRUE,100,2034851,Ettowa,Populated Place,Gonzales,TX,29.6024564,-97.3386019,Y
EUDORA,Angelina,,,TX,Midwest,South Midwest,1895,1903,5,Y,FALSE,,,,,,,,,N
EUFAULA,Hill,,,TX,Midwest,South Midwest,1894,1900,5,Y,FALSE,,,,,,,,,N
EULA,Callahan,,,TX,Midwest,South Midwest,1896,1913,4,Y,TRUE,100,1335536,Eula,Populated Place,Callahan,TX,32.3423509,-99.5617473,Y
EULALIE,Rusk,,,TX,Midwest,South Midwest,1893,1907,5,Y,TRUE,100,2034730,Eulalie,Populated Place,Rusk,TX,31.9682233,-94.5404836,Y
EULESS,Tarrant,,,TX,Midwest,South Midwest,1886,,0,Y,TRUE,100,2428276,Euless Post Office,Post Office,Tarrant,TX,32.8406322,-97.0910986,Y
EULOGY,Bosque,,,TX,Midwest,South Midwest,1885,1912,4,Y,TRUE,100,2034692,Eulogy,Populated Place,Bosque,TX,32.1693129,-97.6558579,Y
EUNICE,Leon,,,TX,Midwest,South Midwest,1907,1934,2,Y,TRUE,100,1379739,Eunice,Populated Place,Leon,TX,31.3193467,-95.8182886,Y
EURA,Kerr,,,TX,Midwest,South Midwest,1922,1924,4,Y,FALSE,,,,,,,,,N
EUREKA,Kaufman,,,TX,Midwest,South Midwest,1857,1860,7,Y,FALSE,,,,,,,,,N
EUREKA,Navarro,,,TX,Midwest,South Midwest,1870,1965,1,Y,TRUE,100,1378273,Eureka,Populated Place,Navarro,TX,32.0126567,-96.29581,Y
EUREKA MILLS,Harris,,,TX,Midwest,South Midwest,1872,1879,7,Y,FALSE,,,,,,,,,N
EUROPE,Robertson,,,TX,Midwest,South Midwest,1844,1847,9,Y,FALSE,,,,,,,,,N
EUSTACE,Henderson,,,TX,Midwest,South Midwest,1900,,0,Y,TRUE,100,2731844,Eustace Post Office,Post Office,Henderson,TX,32.30931,-96.0082165,Y
EUTAW,Robertson,,,TX,Midwest,South Midwest,1856,1857,7,Y,FALSE,,,,,,,,,N
EUTAW,Limestone,,,TX,Midwest,South Midwest,1857,1870,7,Y,TRUE,100,1357096,Eutaw Cemetery,Cemetery,Limestone,TX,31.3107329,-96.6166448,Y
EVA,Jim Wells,,,TX,Midwest,South Midwest,1904,1928,3,Y,FALSE,,,,,,,,,N
EVADALE,Jasper,,,TX,Midwest,South Midwest,1904,,0,Y,TRUE,100,2732304,Evadale Post Office,Post Office,Jasper,TX,30.3451227,-94.0760899,Y
EVANA,Wood,,,TX,Midwest,South Midwest,1881,1882,8,Y,FALSE,,,,,,,,,N
EVANS,Hardin,,,TX,Midwest,South Midwest,1881,1882,8,Y,FALSE,,,,,,,,,N
EVANS POINT,Hopkins,,,TX,Midwest,South Midwest,1887,1907,5,Y,FALSE,,,,,,,,,N
EVANSVILLE,Leon,,,TX,Midwest,South Midwest,1909,1931,2,Y,FALSE,,,,,,,,,N
EVANT,Coryell,,,TX,Midwest,South Midwest,1885,,0,Y,TRUE,100,2732140,Evant Post Office,Post Office,Coryell,TX,31.4768523,-98.152654,Y
EVELYN,Travis,,,TX,Midwest,South Midwest,1895,1902,5,Y,FALSE,,,,,,,,,N
EVERETT,Milam,,,TX,Midwest,South Midwest,1880,1880,9,Y,FALSE,,,,,,,,,N
EVERGREEN,Lee,,,TX,Midwest,South Midwest,1858,1877,5,Y,TRUE,100,1335574,Evergreen Cemetery,Cemetery,Lee,TX,30.2674354,-96.9524827,Y
EVERGREEN,San Jacinto,,,TX,Midwest,South Midwest,1880,1958,1,Y,TRUE,100,1381852,Evergreen,Populated Place,San Jacinto,TX,30.561033,-95.2385504,Y
EVERITT,San Jacinto,,,TX,Midwest,South Midwest,1890,1929,3,Y,FALSE,,,,,,,,,N
EVERMAN,Tarrant,,,TX,Midwest,South Midwest,1905,1965,1,Y,TRUE,100,2008618,Everman High School,School,Tarrant,TX,32.6184684,-97.2875149,Y
EVERTON,Palo Pinto,,,TX,Midwest,South Midwest,1880,1880,9,Y,FALSE,,,,,,,,,N
EVIE,San Augustine,,,TX,Midwest,South Midwest,1899,1902,6,Y,FALSE,,,,,,,,,N
EWELL,Upshur,,,TX,Midwest,South Midwest,1886,1905,5,Y,TRUE,100,1378277,Ewell,Populated Place,Upshur,TX,32.8626306,-94.9168801,Y
EWING,Angelina,,,TX,Midwest,South Midwest,1920,1944,2,Y,TRUE,100,1381855,Ewing,Populated Place,Angelina,TX,31.3726859,-94.4904828,Y
EXCELSIOR,Liberty,,,TX,Midwest,South Midwest,1910,1917,4,Y,FALSE,,,,,,,,,N
EXILE,Real,,,TX,Midwest,South Midwest,1885,1895,5,Y,TRUE,100,1335594,Exile Cemetery,Cemetery,Real,TX,29.6282828,-99.8550615,Y
EXILE,Uvalde,,,TX,Midwest,South Midwest,1895,1909,4,Y,FALSE,,,,,,,,,N
EXPERIMENT,Galveston,,,TX,Midwest,South Midwest,1860,1861,8,Y,FALSE,,,,,,,,,N
EXRAY,Erath,,,TX,Midwest,South Midwest,1897,1906,5,Y,FALSE,,,,,,,,,N
EXUM,Wheeler,,,TX,Midwest,South Midwest,1902,1903,5,Y,FALSE,,,,,,,,,N
EXUM,Wheeler,,,TX,Midwest,South Midwest,1933,1933,4,Y,FALSE,,,,,,,,,N
EYLAU,Bowie,,,TX,Midwest,South Midwest,1885,1895,6,Y,TRUE,100,1357139,Eylau,Populated Place,Bowie,TX,33.3792921,-94.1163008,Y
EYRIE,Ellis,,,TX,Midwest,South Midwest,1894,1903,5,Y,FALSE,,,,,,,,,N
EZZELL,Lavaca,,,TX,Midwest,South Midwest,1883,1914,4,Y,TRUE,100,1379744,Ezzell,Populated Place,Lavaca,TX,29.2824702,-96.9008145,Y
FABENS,El Paso,,,TX,Midwest,South Midwest,1906,,0,Y,TRUE,100,2731213,Fabens Post Office,Post Office,El Paso,TX,31.507616,-106.162338,Y
FABIUS,Hopkins,,,TX,Midwest,South Midwest,1902,1903,6,Y,FALSE,,,,,,,,,N
FAGAN,Bandera,,,TX,Midwest,South Midwest,1884,1895,6,Y,FALSE,,,,,,,,,N
FAIR PLAY,Panola,,,TX,Midwest,South Midwest,1851,1904,5,Y,TRUE,100,1378279,Fair Play,Populated Place,Panola,TX,32.147106,-94.531315,Y
FAIR VIEW,Hill,,,TX,Midwest,South Midwest,1858,1859,8,Y,TRUE,88.88888889,1335622,Fairview Cemetery,Cemetery,Hill,TX,31.8376605,-96.8058264,Y
FAIR VIEW,Wilson,,,TX,Midwest,South Midwest,1868,1908,5,Y,TRUE,88.88888889,1379747,Fairview,Populated Place,Wilson,TX,29.1124671,-98.3230676,Y
FAIRBANKS,Harris,,,TX,Midwest,South Midwest,1895,1960,1,Y,TRUE,100,1373692,Fairbanks,Populated Place,Harris,TX,29.8527259,-95.5243864,Y
FAIRCHILDS,Fort Bend,,,TX,Midwest,South Midwest,1912,1918,4,Y,TRUE,100,1378280,Fairchilds,Populated Place,Fort Bend,TX,29.431353,-95.7802282,Y
FAIRDALE,Sabine,,,TX,Midwest,South Midwest,1902,1950,1,Y,TRUE,100,1381856,Fairdale,Populated Place,Sabine,TX,31.2304648,-93.6618447,Y
FAIRFIELD,Freestone,,,TX,Midwest,South Midwest,1851,,0,Y,TRUE,100,2731334,Fairfield Post Office,Post Office,Freestone,TX,31.725657,-96.157627,Y
FAIRLAND,Burnet,,,TX,Midwest,South Midwest,1890,1951,1,Y,TRUE,100,1379745,Fairland,Populated Place,Burnet,TX,30.6440751,-98.2847464,Y
FAIRLIE,Hunt,,,TX,Midwest,South Midwest,1892,1968,1,Y,TRUE,100,1357168,Fairlie,Populated Place,Hunt,TX,33.3134441,-95.9583012,Y
FAIRMOUNT,Sabine,,,TX,Midwest,South Midwest,1854,1937,2,Y,TRUE,100,1381857,Fairmount,Populated Place,Sabine,TX,31.1968557,-93.7332357,Y
FAIRY,Hamilton,,,TX,Midwest,South Midwest,1884,1957,1,Y,TRUE,100,1335649,Fairy,Populated Place,Hamilton,TX,31.8459846,-97.9825318,Y
FAIRYLAND,Hopkins,,,TX,Midwest,South Midwest,1880,1891,6,Y,FALSE,,,,,,,,,N
FALBA,Walker,,,TX,Midwest,South Midwest,1901,1919,4,Y,TRUE,100,1373694,Falba Cemetery,Cemetery,Walker,TX,30.871579,-95.6866128,Y
FALCON,Crosby,,,TX,Midwest,South Midwest,1890,1895,5,Y,FALSE,,,,,,,,,N
FALCON,Zapata,,,TX,Midwest,South Midwest,1911,1932,2,Y,TRUE,100,1335661,Falcon,Populated Place,Zapata,TX,26.6381079,-99.0955885,Y
FALCON HEIGHTS,Starr,,,TX,Midwest,South Midwest,1851,,0,Y,TRUE,100,2731194,Falcon Heights Post Office,Post Office,Starr,TX,26.560746,-99.123641,Y
FALFURRIAS,Brooks,,,TX,Midwest,South Midwest,1898,,0,Y,TRUE,100,2732269,Falfurrias Post Office,Post Office,Brooks,TX,27.2275101,-98.1419905,Y
FALKNER,Aransas,,,TX,Midwest,South Midwest,1892,1911,4,Y,FALSE,,,,,,,,,N
FALLS,Johnson,,,TX,Midwest,South Midwest,1884,1886,7,Y,FALSE,,,,,,,,,N
FALLS CITY,Karnes,,,TX,Midwest,South Midwest,1893,,0,Y,TRUE,100,2732219,Falls City Post Office,Post Office,Karnes,TX,28.9813268,-98.0190355,Y
FALLS CREEK,Lampasas,,,TX,Midwest,South Midwest,1879,1879,7,Y,TRUE,90.90909091,1357205,Fall Creek,Stream,Lampasas,TX,31.156004,-98.0666941,Y
FALLS OF BRAZOS,Falls,,,TX,Midwest,South Midwest,1848,1849,9,Y,FALSE,,,,,,,,,N
FANCHON,Swisher,,,TX,Midwest,South Midwest,1892,1917,4,Y,FALSE,,,,,,,,,N
FANNETT,Jefferson,,,TX,Midwest,South Midwest,1903,1928,3,Y,TRUE,100,1357220,Fannett School,School,Jefferson,TX,29.9946597,-94.2424067,Y
FANNIN,Goliad,,,TX,Midwest,South Midwest,1890,,0,Y,TRUE,100,1373703,Fannin,Populated Place,Goliad,TX,28.6955486,-97.2358241,Y
FANNING'S DEFEAT,Goliad,,,TX,Midwest,South Midwest,1852,1856,8,Y,FALSE,,,,,,,,,N
FANT,Polk,,,TX,Midwest,South Midwest,1889,1892,6,Y,FALSE,,,,,,,,,N
FANT,Cass,,,TX,Midwest,South Midwest,1894,1901,5,Y,FALSE,,,,,,,,,N
FANT CITY,Live Oak,,,TX,Midwest,South Midwest,1915,1926,3,Y,FALSE,,,,,,,,,N
FANTHORP'S,Grimes,,,TX,Midwest,South Midwest,1835,1849,8,Y,FALSE,,,,,,,,,N
FARGO,Wilbarger,,,TX,Midwest,South Midwest,1894,1915,4,Y,TRUE,100,1357231,Fargo,Populated Place,Wilbarger,TX,34.2948051,-99.2775829,Y
FARMER,Young,,,TX,Midwest,South Midwest,1878,1921,3,Y,TRUE,100,1379753,Farmer,Populated Place,Young,TX,33.3464987,-98.555056,Y
FARMER'S BRANCH,Dallas,,,TX,Midwest,South Midwest,1848,1954,1,Y,TRUE,100,2428277,Farmers Branch Post Office,Post Office,Dallas,TX,32.9346625,-96.8883794,Y
FARMERS INSTITUTE,Rusk,,,TX,Midwest,South Midwest,1885,1887,7,Y,FALSE,,,,,,,,,N
FARMERSVILLE,Collin,,,TX,Midwest,South Midwest,1857,,0,Y,TRUE,100,2731913,Farmersville Post Office,Post Office,Collin,TX,33.1629369,-96.3616375,Y
FARMINGTON,Grayson,,,TX,Midwest,South Midwest,1861,1904,5,Y,TRUE,100,1380851,Farmington,Populated Place,Grayson,TX,33.4689984,-96.6452684,Y
FARMINGTON,La Salle,,,TX,Midwest,South Midwest,1910,1911,6,Y,FALSE,,,,,,,,,N
FARNSWORTH,Ochiltree,,,TX,Midwest,South Midwest,1920,,0,Y,TRUE,100,2732213,Farnsworth Post Office,Post Office,Ochiltree,TX,36.3193737,-100.9692665,Y
FARR,McLennan,,,TX,Midwest,South Midwest,1892,1902,5,Y,FALSE,,,,,,,,,N
FARRAR,Limestone,,,TX,Midwest,South Midwest,1883,1956,1,Y,TRUE,100,1380852,Farrar,Populated Place,Limestone,TX,31.4568412,-96.280804,Y
FARRSVILLE,Newton,,,TX,Midwest,South Midwest,1875,1948,1,Y,TRUE,100,1379754,Farrsville,Populated Place,Newton,TX,30.9835307,-93.8074029,Y
FARWELL,Hansford,,,TX,Midwest,South Midwest,1887,1894,5,Y,FALSE,,,,,,,,,N
FARWELL,Parmer,,,TX,Midwest,South Midwest,1906,,0,Y,TRUE,100,2731593,Farwell Post Office,Post Office,Parmer,TX,34.38772,-103.039352,Y
FARWELL PARK,Dallam,,,TX,Midwest,South Midwest,1888,1894,6,Y,FALSE,,,,,,,,,N
FASHING,Atascosa,,,TX,Midwest,South Midwest,1920,,0,Y,TRUE,100,1379755,Fashing,Populated Place,Atascosa,TX,28.7924803,-98.139729,Y
FASTRILL,Cherokee,,,TX,Midwest,South Midwest,1923,1941,2,Y,FALSE,,,,,,,,,N
FATE,Rockwall,,,TX,Midwest,South Midwest,1880,,0,Y,TRUE,100,2731594,Fate Post Office,Post Office,Rockwall,TX,32.93765,-96.392694,Y
FAUBION,Burnet,,,TX,Midwest,South Midwest,1886,1888,7,Y,FALSE,,,,,,,,,N
FAUGHT,Lamar,,,TX,Midwest,South Midwest,1893,1905,5,Y,TRUE,100,1379757,Faught,Populated Place,Lamar,TX,33.7373286,-95.4207879,Y
FAY,Leon,,,TX,Midwest,South Midwest,1895,1906,5,Y,FALSE,,,,,,,,,N
FAYBURG,Collin,,,TX,Midwest,South Midwest,1884,1926,3,Y,TRUE,100,1379760,Fayburg,Populated Place,Collin,TX,33.2692804,-96.3877604,Y
FAYETTEVILLE,Fayette,,,TX,Midwest,South Midwest,1850,,0,Y,TRUE,100,2731907,Fayetteville Post Office,Post Office,Fayette,TX,29.9055638,-96.6735611,Y
FAYSVILLE,Hidalgo,,,TX,Midwest,South Midwest,1932,1937,3,Y,TRUE,100,1377161,Faysville,Populated Place,Hidalgo,TX,26.4103453,-98.1352866,Y
FAZENDA,Upshur,,,TX,Midwest,South Midwest,1899,1905,5,Y,FALSE,,,,,,,,,N
FEDOR,Lee,,,TX,Midwest,South Midwest,1880,1905,5,Y,TRUE,100,1378288,Fedor,Populated Place,Lee,TX,30.3160448,-97.0527636,Y
FEHLIS,Kinney,,,TX,Midwest,South Midwest,1910,1913,5,Y,FALSE,,,,,,,,,N
FELDER,Washington,,,TX,Midwest,South Midwest,1890,1907,5,Y,FALSE,,,,,,,,,N
FELICIA,Liberty,,,TX,Midwest,South Midwest,1916,1921,4,Y,TRUE,100,1378289,Felicia,Populated Place,Liberty,TX,30.0241036,-94.5079708,Y
FELIX,Glasscock,,,TX,Midwest,South Midwest,1904,1907,6,Y,FALSE,,,,,,,,,N
FELTON,Walker,,,TX,Midwest,South Midwest,1878,1878,9,Y,FALSE,,,,,,,,,N
FENELLA,Waller,,,TX,Midwest,South Midwest,1897,1899,7,Y,FALSE,,,,,,,,,N
FENTRESS,Caldwell,,,TX,Midwest,South Midwest,1893,,0,Y,TRUE,100,2731743,Fentress Post Office,Post Office,Caldwell,TX,29.7579218,-97.7766498,Y
FERGUSON,Grayson,,,TX,Midwest,South Midwest,1886,1887,6,Y,FALSE,,,,,,,,,N
FERGUSON,Tarrant,,,TX,Midwest,South Midwest,1894,1901,4,Y,FALSE,,,,,,,,,N
FERGUSON,Jasper,,,TX,Midwest,South Midwest,1928,1933,2,Y,TRUE,100,1381867,Ferguson,Populated Place,Jasper,TX,31.0360293,-94.1393592,Y
FERGUSON'S,Grayson,,,TX,Midwest,South Midwest,1855,1861,7,Y,FALSE,,,,,,,,,N
FERNANDO,Medina,,,TX,Midwest,South Midwest,1893,1898,6,Y,FALSE,,,,,,,,,N
FERNS,Harrison,,,TX,Midwest,South Midwest,1888,1900,5,Y,FALSE,,,,,,,,,N
FERRIS,Ellis,,,TX,Midwest,South Midwest,1874,,0,Y,TRUE,100,2731088,Ferris Post Office,Post Office,Ellis,TX,32.534043,-96.668992,Y
FERTILE HILL,Falls,,,TX,Midwest,South Midwest,1871,1872,8,Y,FALSE,,,,,,,,,N
FESTUS,Moore,,,TX,Midwest,South Midwest,1898,1902,6,Y,FALSE,,,,,,,,,N
FETZER,Waller,,,TX,Midwest,South Midwest,1913,1940,2,Y,TRUE,100,1378290,Fetzer,Populated Place,Waller,TX,30.2413224,-95.817728,Y
FIELD CREEK,Llano,,,TX,Midwest,South Midwest,1878,1974,1,Y,TRUE,100,1379763,Field Creek,Populated Place,Llano,TX,30.9015612,-98.9450467,Y
FIELDS STORE,Waller,,,TX,Midwest,South Midwest,1874,1909,4,Y,TRUE,100,2034785,Fields Store,Populated Place,Waller,TX,30.1446601,-95.956066,Y
FIELDTON,Lamb,,,TX,Midwest,South Midwest,1930,,0,Y,TRUE,100,1357320,Fieldton,Populated Place,Lamb,TX,34.0392566,-102.2232337,Y
FIFE,Mcculloch,,,TX,Midwest,South Midwest,1902,1988,1,Y,TRUE,100,1379764,Fife,Populated Place,McCulloch,TX,31.3904396,-99.3845005,Y
FILES,Hill,,,TX,Midwest,South Midwest,1880,1907,5,Y,TRUE,100,1335789,Files Cemetery,Cemetery,Hill,TX,32.2093152,-97.0791711,Y
FILIGONIO,Willacy,,,TX,Midwest,South Midwest,1915,1926,3,Y,FALSE,,,,,,,,,N
FILIGONIO,Hidalgo,,,TX,Midwest,South Midwest,1926,1926,3,Y,FALSE,,,,,,,,,N
FINCASTLE,Henderson,,,TX,Midwest,South Midwest,1855,1907,5,Y,TRUE,100,1378292,Fincastle,Populated Place,Henderson,TX,32.1293237,-95.5677362,Y
FINCH,Lamar,,,TX,Midwest,South Midwest,1892,1898,6,Y,FALSE,,,,,,,,,N
FINEZA,Shelby,,,TX,Midwest,South Midwest,1899,1900,6,Y,FALSE,,,,,,,,,N
FINIS,Jack,,,TX,Midwest,South Midwest,1881,1920,3,Y,FALSE,,,,,,,,,N
FINK,Grayson,,,TX,Midwest,South Midwest,1897,1903,5,Y,TRUE,100,1379765,Fink,Populated Place,Grayson,TX,33.8037144,-96.6772186,Y
FINLAY,Hudspeth,,,TX,Midwest,South Midwest,1903,1940,2,Y,TRUE,100,1379766,Finlay,Populated Place,Hudspeth,TX,31.2587375,-105.6299609,Y
FINLEY,Dallas,,,TX,Midwest,South Midwest,1899,1902,4,Y,FALSE,,,,,,,,,N
FIREMAN'S HILL,San Jacinto,,,TX,Midwest,South Midwest,1847,1850,8,Y,TRUE,100,1384227,Firemans Hill,Populated Place,San Jacinto,TX,30.592421,-95.1293818,Y
FISCHER,Comal,,,TX,Midwest,South Midwest,1950,,0,Y,TRUE,100,2731398,Fischer Post Office,Post Office,Comal,TX,29.97714,-98.267151,Y
FISCHERS STORE,Comal,,,TX,Midwest,South Midwest,1876,1950,1,Y,FALSE,,,,,,,,,N
FISH CREEK,Cooke,,,TX,Midwest,South Midwest,1858,,0,Y,TRUE,100,1357350,Fish Creek,Stream,Cooke,TX,33.7603825,-97.1927917,Y
FISH CREEK,Young,,,TX,Midwest,South Midwest,1879,1887,5,Y,TRUE,100,1335822,Fish Creek,Stream,Young,TX,33.0451159,-98.7225616,Y
FISHER,Fisher,,,TX,Midwest,South Midwest,1885,1912,4,Y,TRUE,100,1378294,Fisher,Populated Place,Fisher,TX,32.7937187,-100.3898295,Y
FISHERBURGH,Cooke,,,TX,Midwest,South Midwest,1887,1888,7,Y,FALSE,,,,,,,,,N
FISK,Coleman,,,TX,Midwest,South Midwest,1906,1973,1,Y,TRUE,100,1378295,Fisk,Populated Place,Coleman,TX,31.6709839,-99.4892306,Y
FISKVILLE,Travis,,,TX,Midwest,South Midwest,1873,1901,5,Y,TRUE,100,1335841,Fiskville Cemetery,Cemetery,Travis,TX,30.3507613,-97.6850049,Y
FITE,Cass,,,TX,Midwest,South Midwest,1901,1902,6,Y,FALSE,,,,,,,,,N
FITZGERALD,Anderson,,,TX,Midwest,South Midwest,1888,1905,5,Y,FALSE,,,,,,,,,N
FITZHUGH,Hays,,,TX,Midwest,South Midwest,1897,1914,4,Y,TRUE,100,1378296,Fitzhugh,Populated Place,Hays,TX,30.2452053,-98.0272327,Y
FIVE MILE,Dallas,,,TX,Midwest,South Midwest,1874,1874,7,Y,TRUE,88.88888889,1335859,Fivemile Cemetery,Cemetery,Dallas,TX,32.7065208,-96.8830587,Y
FIVEMILE,Dallas,,,TX,Midwest,South Midwest,1896,1901,5,Y,TRUE,100,1335859,Fivemile Cemetery,Cemetery,Dallas,TX,32.7065208,-96.8830587,Y
FLACCUS,Karnes,,,TX,Midwest,South Midwest,1903,1906,6,Y,FALSE,,,,,,,,,N
FLAG POND,Bosque,,,TX,Midwest,South Midwest,1857,1877,7,Y,FALSE,,,,,,,,,N
FLAGG,Castro,,,TX,Midwest,South Midwest,1925,1947,1,Y,TRUE,100,1379774,Flagg,Populated Place,Castro,TX,34.4261851,-102.4099197,Y
FLANAGAN,Rusk,,,TX,Midwest,South Midwest,1900,1916,4,Y,FALSE,,,,,,,,,N
FLANAGAN'S MILLS,Rusk,,,TX,Midwest,South Midwest,1872,1877,6,Y,FALSE,,,,,,,,,N
FLAT,Coryell,,,TX,Midwest,South Midwest,1897,,0,Y,TRUE,100,2731918,Flat Post Office,Post Office,Coryell,TX,31.3079141,-97.6282642,Y
FLAT FORK,Shelby,,,TX,Midwest,South Midwest,1909,1911,5,Y,TRUE,100,1379775,Flat Fork,Populated Place,Shelby,TX,31.8810041,-94.2110306,Y
FLATONIA,Fayette,,,TX,Midwest,South Midwest,1870,,0,Y,TRUE,100,2731986,Flatonia Post Office,Post Office,Fayette,TX,29.6869825,-97.1079725,Y
FLATPRAIRIE,Washington,,,TX,Midwest,South Midwest,1913,1914,6,Y,TRUE,90.90909091,1335908,Flat Prairie Cemetery,Cemetery,Washington,TX,30.2682684,-96.6285839,Y
FLATT,Travis,,,TX,Midwest,South Midwest,1892,1893,7,Y,FALSE,,,,,,,,,N
FLEERTON,Archer,,,TX,Midwest,South Midwest,1909,1911,5,Y,FALSE,,,,,,,,,N
FLEETWOOD,Stephens,,,TX,Midwest,South Midwest,1890,1892,7,Y,FALSE,,,,,,,,,N
